attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767846000,1170596,strong_user_01,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,364.60662347169136,
2,1767846000.3646066,1170596,strong_user_02,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,393.9837482807044,
3,1767846000.7585905,1170596,strong_user_03,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,341.0043612178768,
4,1767846001.0995948,1170596,strong_user_04,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,352.6865482604362,
5,1767846001.4522815,1170596,strong_user_05,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,344.96933917172544,
6,1767846001.7972507,1170596,strong_user_06,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,376.6171680101072,
7,1767846002.173868,1170596,strong_user_07,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,322.5844647891114,
8,1767846002.4964523,1170596,strong_user_08,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,362.3768227934438,
9,1767846002.8588293,1170596,strong_user_09,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,312.65860662370955,
10,1767846003.1714878,1170596,strong_user_10,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,381.4799358990097,
11,1767846008.5529678,1170596,strong_user_01,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,379.56295537244915,
12,1767846008.9325306,1170596,strong_user_02,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,385.94372510991093,
13,1767846009.3184743,1170596,strong_user_03,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,346.7012400705527,
14,1767846009.6651754,1170596,strong_user_04,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,358.54016618909793,
15,1767846010.0237155,1170596,strong_user_05,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,351.4392261214408,
16,1767846010.3751547,1170596,strong_user_06,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,346.3385307667307,
17,1767846010.7214932,1170596,strong_user_07,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,330.480154350757,
18,1767846011.0519733,1170596,strong_user_08,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,374.0930318124191,
19,1767846011.4260664,1170596,strong_user_09,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,375.89104230073855,
20,1767846011.8019574,1170596,strong_user_10,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,374.8481817022672,
21,1767846017.1768055,1170596,strong_user_01,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,379.10114846531997,
22,1767846017.5559065,1170596,strong_user_02,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,344.9075150436241,
23,1767846017.900814,1170596,strong_user_03,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,391.2214554116023,
24,1767846018.2920356,1170596,strong_user_04,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,317.2247558130515,
25,1767846018.6092603,1170596,strong_user_05,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,369.6516606001744,
26,1767846018.9789119,1170596,strong_user_06,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,394.32369558974074,
27,1767846019.3732355,1170596,strong_user_07,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,312.344596969787,
28,1767846019.68558,1170596,strong_user_08,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,390.4244139509469,
29,1767846020.0760045,1170596,strong_user_09,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,313.80894401128523,
30,1767846020.3898134,1170596,strong_user_10,password_3,unknown,BCRYPT,True,True,False,False,False,401,False,385.2442456200297,
31,1767846025.7750576,1170596,strong_user_01,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,353.00047738391424,
32,1767846026.128058,1170596,strong_user_02,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,333.1852921393754,
33,1767846026.4612432,1170596,strong_user_03,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,374.3134056455349,
34,1767846026.8355565,1170596,strong_user_04,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,313.43752409659334,
35,1767846027.148994,1170596,strong_user_05,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,301.6117449682249,
36,1767846027.4506056,1170596,strong_user_06,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,323.8166962229873,
37,1767846027.7744224,1170596,strong_user_07,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,322.34398859668653,
38,1767846028.0967665,1170596,strong_user_08,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,375.042829425472,
39,1767846028.4718094,1170596,strong_user_09,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,360.7283035854214,
40,1767846028.8325377,1170596,strong_user_10,password_4,unknown,BCRYPT,True,True,False,False,False,401,False,338.13946200243623,
41,1767846034.1706772,1170596,strong_user_01,password_5,unknown,BCRYPT,True,True,False,False,False,401,False,383.55756784781465,
42,1767846034.5542347,1170596,strong_user_02,password_5,unknown,BCRYPT,True,True,False,False,False,401,False,329.6444277514519,
