attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767845000,1170596,strong_user_01,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,345.32231625471144,Invalid TOTP
2,1767845000.3453224,1170596,strong_user_02,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,302.65949198894765,Invalid TOTP
3,1767845000.647982,1170596,strong_user_03,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,389.4907103998253,Invalid TOTP
4,1767845001.0374725,1170596,strong_user_04,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,382.2872500002801,Invalid TOTP
5,1767845001.4197598,1170596,strong_user_05,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,398.81341231097355,Invalid TOTP
6,1767845001.8185732,1170596,strong_user_06,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,390.9400180291859,Invalid TOTP
7,1767845002.2095132,1170596,strong_user_07,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,363.7329343384899,Invalid TOTP
8,1767845002.5732462,1170596,strong_user_08,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,306.4004722690769,Invalid TOTP
9,1767845002.8796468,1170596,strong_user_09,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,397.2961255939914,Invalid TOTP
10,1767845003.276943,1170596,strong_user_10,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,350.1706608136434,Invalid TOTP
11,1767845003.6271136,1170596,strong_user_01,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,385.0815442306862,Invalid TOTP
12,1767845004.012195,1170596,strong_user_02,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,345.9407967530004,Invalid TOTP
13,1767845004.358136,1170596,strong_user_03,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,320.80928959401956,Invalid TOTP
14,1767845004.6789453,1170596,strong_user_04,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,325.2871932442097,Invalid TOTP
15,1767845005.0042324,1170596,strong_user_05,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,392.8500650311384,Invalid TOTP
16,1767845005.3970826,1170596,strong_user_06,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,312.8479657470885,Invalid TOTP
17,1767845005.7099304,1170596,strong_user_07,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,332.8546277629407,Invalid TOTP
18,1767845006.042785,1170596,strong_user_08,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,329.5098046773322,Invalid TOTP
19,1767845006.3722947,1170596,strong_user_09,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,353.65851721018566,Invalid TOTP
20,1767845006.725953,1170596,strong_user_10,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,332.1015905447687,Invalid TOTP
21,1767845007.0580547,1170596,strong_user_01,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,300.1828868426418,Invalid TOTP
22,1767845007.3582375,1170596,strong_user_02,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,306.4550774426631,Invalid TOTP
23,1767845007.6646926,1170596,strong_user_03,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,337.0935027417296,Invalid TOTP
24,1767845008.0017862,1170596,strong_user_04,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,379.35890536424864,Invalid TOTP
25,1767845008.3811452,1170596,strong_user_05,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,338.721629751294,Invalid TOTP
26,1767845008.7198668,1170596,strong_user_06,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,373.12098058076543,Invalid TOTP
27,1767845009.0929878,1170596,strong_user_07,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,375.34792979221595,Invalid TOTP
28,1767845009.4683356,1170596,strong_user_08,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,306.37762770955567,Invalid TOTP
29,1767845009.7747133,1170596,strong_user_09,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,393.8529064613456,Invalid TOTP
30,1767845010.1685662,1170596,strong_user_10,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,362.2825491978256,Invalid TOTP
31,1767845010.5308487,1170596,strong_user_01,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,344.66593499031524,Invalid TOTP
32,1767845010.8755147,1170596,strong_user_02,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,331.7280579135676,Invalid TOTP
33,1767845011.2072427,1170596,strong_user_03,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,394.7793618632184,Invalid TOTP
34,1767845011.6020222,1170596,strong_user_04,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,390.8419043052977,Invalid TOTP
35,1767845011.9928641,1170596,strong_user_05,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,300.21091343777607,Invalid TOTP
36,1767845012.293075,1170596,strong_user_06,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,371.10753847955255,Invalid TOTP
37,1767845012.6641827,1170596,strong_user_07,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,325.65322418006224,Invalid TOTP
38,1767845012.989836,1170596,strong_user_08,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,313.30109392066436,Invalid TOTP
39,1767845013.303137,1170596,strong_user_09,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,308.3749402685517,Invalid TOTP
40,1767845013.611512,1170596,strong_user_10,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,339.99220520532924,Invalid TOTP
41,1767845013.9515042,1170596,strong_user_01,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,364.15973794218297,Invalid TOTP
42,1767845014.315664,1170596,strong_user_02,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,322.25003180765503,Invalid TOTP
43,1767845014.6379142,1170596,strong_user_03,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,370.03973897669573,Invalid TOTP
44,1767845015.007954,1170596,strong_user_04,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,305.6971833254485,Invalid TOTP
45,1767845015.313651,1170596,strong_user_05,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,377.89286984146275,Invalid TOTP
46,1767845015.691544,1170596,strong_user_06,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,342.5096066847959,Invalid TOTP
47,1767845016.0340536,1170596,strong_user_07,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,344.3063205201249,Invalid TOTP
48,1767845016.3783598,1170596,strong_user_08,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,306.6192189476869,Invalid TOTP
49,1767845016.684979,1170596,strong_user_09,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,394.58006591282765,Invalid TOTP
50,1767845017.079559,1170596,strong_user_10,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,335.0119612596104,Invalid TOTP
51,1767845017.414571,1170596,strong_user_01,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,385.1739944838679,Invalid TOTP
52,1767845017.799745,1170596,strong_user_02,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,364.8042267329972,Invalid TOTP
53,1767845018.1645494,1170596,strong_user_03,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,323.4420785350916,Invalid TOTP
54,1767845018.4879913,1170596,strong_user_04,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,384.1103373740997,Invalid TOTP
55,1767845018.8721018,1170596,strong_user_05,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,330.89328200072214,Invalid TOTP
56,1767845019.202995,1170596,strong_user_06,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,316.0030232896661,Invalid TOTP
57,1767845019.5189981,1170596,strong_user_07,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,302.76989356757775,Invalid TOTP
58,1767845019.821768,1170596,strong_user_08,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,333.84513905508186,Invalid TOTP
59,1767845020.1556132,1170596,strong_user_09,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,382.1992384626821,Invalid TOTP
60,1767845020.5378125,1170596,strong_user_10,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,322.09643980253264,Invalid TOTP
61,1767845020.8599088,1170596,strong_user_01,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,319.24082648250646,Invalid TOTP
62,1767845021.1791496,1170596,strong_user_02,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,388.8620134770586,Invalid TOTP
