attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767812000,1170596,strong_user_01,password_1,unknown,SHA256,False,True,False,False,False,401,False,164.6048000675566,
2,1767812000.164605,1170596,strong_user_02,password_1,unknown,SHA256,False,True,False,False,False,401,False,118.60779514562486,
3,1767812000.2832127,1170596,strong_user_03,password_1,unknown,SHA256,False,True,False,False,False,401,False,131.22127578817975,
4,1767812000.414434,1170596,strong_user_04,password_1,unknown,SHA256,False,True,False,False,False,401,False,191.98699388647003,
5,1767812000.606421,1170596,strong_user_05,password_1,unknown,SHA256,False,True,False,False,False,401,False,113.1895245776751,
6,1767812000.7196105,1170596,strong_user_06,password_1,unknown,SHA256,False,True,False,False,False,401,False,155.80059172813884,
7,1767812000.875411,1170596,strong_user_07,password_1,unknown,SHA256,False,True,False,False,False,401,False,117.2647758610292,
8,1767812000.9926758,1170596,strong_user_08,password_1,unknown,SHA256,False,True,False,False,False,401,False,136.31658564637561,
9,1767812001.1289923,1170596,strong_user_09,password_1,unknown,SHA256,False,True,False,False,False,401,False,153.11720455037937,
10,1767812001.2821095,1170596,strong_user_10,password_1,unknown,SHA256,False,True,False,False,False,401,False,152.2246380592009,
11,1767812001.434334,1170596,strong_user_01,password_2,unknown,SHA256,False,True,False,False,False,401,False,103.08937998574027,
12,1767812001.5374234,1170596,strong_user_02,password_2,unknown,SHA256,False,True,False,False,False,401,False,161.36020739474935,
13,1767812001.6987836,1170596,strong_user_03,password_2,unknown,SHA256,False,True,False,False,False,401,False,181.2313477339954,
14,1767812001.880015,1170596,strong_user_04,password_2,unknown,SHA256,False,True,False,False,False,401,False,184.36202148543785,
15,1767812002.0643768,1170596,strong_user_05,password_2,unknown,SHA256,False,True,False,False,False,401,False,185.6103420349706,
16,1767812002.2499871,1170596,strong_user_06,password_2,unknown,SHA256,False,True,False,False,False,401,False,115.21870087374458,
17,1767812002.3652058,1170596,strong_user_07,password_2,unknown,SHA256,False,True,False,False,False,401,False,166.6735924253632,
18,1767812002.5318794,1170596,strong_user_08,password_2,unknown,SHA256,False,True,False,False,False,401,False,151.1608827022631,
19,1767812002.6830404,1170596,strong_user_09,password_2,unknown,SHA256,False,True,False,False,False,401,False,105.01223253278943,
20,1767812002.7880526,1170596,strong_user_10,password_2,unknown,SHA256,False,True,False,False,False,401,False,174.5632467845071,
21,1767812002.9626157,1170596,strong_user_01,password_3,unknown,SHA256,False,True,False,False,False,401,False,129.62272619512447,
22,1767812003.0922384,1170596,strong_user_02,password_3,unknown,SHA256,False,True,False,False,False,401,False,192.55105938947793,
23,1767812003.2847896,1170596,strong_user_03,password_3,unknown,SHA256,False,True,False,False,False,401,False,145.6072491538784,
24,1767812003.4303968,1170596,strong_user_04,password_3,unknown,SHA256,False,True,False,False,False,401,False,100.13707566770276,
25,1767812003.5305338,1170596,strong_user_05,password_3,unknown,SHA256,False,True,False,False,False,401,False,191.2215008771251,
26,1767812003.7217553,1170596,strong_user_06,password_3,unknown,SHA256,False,True,False,False,False,401,False,181.90758917387296,
27,1767812003.903663,1170596,strong_user_07,password_3,unknown,SHA256,False,True,False,False,False,401,False,199.24122128646601,
28,1767812004.102904,1170596,strong_user_08,password_3,unknown,SHA256,False,True,False,False,False,401,False,140.0951938614872,
29,1767812004.2429993,1170596,strong_user_09,password_3,unknown,SHA256,False,True,False,False,False,401,False,127.48900230151796,
30,1767812004.3704884,1170596,strong_user_10,password_3,unknown,SHA256,False,True,False,False,False,401,False,156.54537815575765,
31,1767812004.5270338,1170596,strong_user_01,password_4,unknown,SHA256,False,True,False,False,False,401,False,113.01838216410209,
32,1767812004.640052,1170596,strong_user_02,password_4,unknown,SHA256,False,True,False,False,False,401,False,192.29125355231187,
33,1767812004.8323433,1170596,strong_user_03,password_4,unknown,SHA256,False,True,False,False,False,401,False,105.39378943165994,
34,1767812004.9377372,1170596,strong_user_04,password_4,unknown,SHA256,False,True,False,False,False,401,False,101.44178771966364,
35,1767812005.039179,1170596,strong_user_05,password_4,unknown,SHA256,False,True,False,False,False,401,False,110.18957947955627,
36,1767812005.1493688,1170596,strong_user_06,password_4,unknown,SHA256,False,True,False,False,False,401,False,157.85274606955147,
37,1767812005.3072214,1170596,strong_user_07,password_4,unknown,SHA256,False,True,False,False,False,401,False,142.22543471284516,
38,1767812005.449447,1170596,strong_user_08,password_4,unknown,SHA256,False,True,False,False,False,401,False,108.74669176203629,
39,1767812005.5581937,1170596,strong_user_09,password_4,unknown,SHA256,False,True,False,False,False,401,False,110.30761422111615,
40,1767812005.6685014,1170596,strong_user_10,password_4,unknown,SHA256,False,True,False,False,False,401,False,138.41060451537072,
41,1767812005.806912,1170596,strong_user_01,password_5,unknown,SHA256,False,True,False,False,False,401,False,169.57050152340366,
42,1767812005.9764824,1170596,strong_user_02,password_5,unknown,SHA256,False,True,False,False,False,401,False,107.23371370571861,
43,1767812006.0837162,1170596,strong_user_03,password_5,unknown,SHA256,False,True,False,False,False,401,False,176.50488570637947,
44,1767812006.260221,1170596,strong_user_04,password_5,unknown,SHA256,False,True,False,False,False,401,False,141.76057137611352,
45,1767812006.4019816,1170596,strong_user_05,password_5,unknown,SHA256,False,True,False,False,False,401,False,176.56111748806308,
46,1767812006.5785427,1170596,strong_user_06,password_5,unknown,SHA256,False,True,False,False,False,401,False,140.72049411451928,
47,1767812006.7192633,1170596,strong_user_07,password_5,unknown,SHA256,False,True,False,False,False,401,False,164.10114096985328,
48,1767812006.8833644,1170596,strong_user_08,password_5,unknown,SHA256,False,True,False,False,False,401,False,118.87894297262322,
49,1767812007.0022433,1170596,strong_user_09,password_5,unknown,SHA256,False,True,False,False,False,401,False,125.56723312267184,
50,1767812007.1278105,1170596,strong_user_10,password_5,unknown,SHA256,False,True,False,False,False,401,False,117.01385199572245,
