attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767810000,1170596,strong_user_01,password_1,unknown,SHA256,False,False,False,False,False,401,False,166.93712530146567,
2,1767810000.166937,1170596,strong_user_02,password_1,unknown,SHA256,False,False,False,False,False,401,False,112.81801517815425,
3,1767810000.279755,1170596,strong_user_03,password_1,unknown,SHA256,False,False,False,False,False,401,False,192.1779058020546,
4,1767810000.4719331,1170596,strong_user_04,password_1,unknown,SHA256,False,False,False,False,False,401,False,183.80090020733843,
5,1767810000.655734,1170596,strong_user_05,password_1,unknown,SHA256,False,False,False,False,False,401,False,152.90223957715682,
6,1767810000.8086362,1170596,strong_user_06,password_1,unknown,SHA256,False,False,False,False,False,401,False,178.64682842577645,
7,1767810000.987283,1170596,strong_user_07,password_1,unknown,SHA256,False,False,False,False,False,401,False,106.98923050168105,
8,1767810001.0942721,1170596,strong_user_08,password_1,unknown,SHA256,False,False,False,False,False,401,False,168.0979411448767,
9,1767810001.26237,1170596,strong_user_09,password_1,unknown,SHA256,False,False,False,False,False,401,False,127.14000644343845,
10,1767810001.3895102,1170596,strong_user_10,password_1,unknown,SHA256,False,False,False,False,False,401,False,139.87641181198205,
11,1767810001.5293865,1170596,strong_user_01,password_2,unknown,SHA256,False,False,False,False,False,401,False,105.21410587110057,
12,1767810001.6346006,1170596,strong_user_02,password_2,unknown,SHA256,False,False,False,False,False,401,False,147.75187753371313,
13,1767810001.7823524,1170596,strong_user_03,password_2,unknown,SHA256,False,False,False,False,False,401,False,175.80185961137215,
14,1767810001.9581542,1170596,strong_user_04,password_2,unknown,SHA256,False,False,False,False,False,401,False,145.6339758498054,
15,1767810002.1037881,1170596,strong_user_05,password_2,unknown,SHA256,False,False,False,False,False,401,False,156.52139278838266,
16,1767810002.2603095,1170596,strong_user_06,password_2,unknown,SHA256,False,False,False,False,False,401,False,180.64541338729833,
17,1767810002.440955,1170596,strong_user_07,password_2,unknown,SHA256,False,False,False,False,False,401,False,128.1385895813437,
18,1767810002.5690935,1170596,strong_user_08,password_2,unknown,SHA256,False,False,False,False,False,401,False,164.9217604639058,
19,1767810002.7340152,1170596,strong_user_09,password_2,unknown,SHA256,False,False,False,False,False,401,False,158.8380999378922,
20,1767810002.8928533,1170596,strong_user_10,password_2,unknown,SHA256,False,False,False,False,False,401,False,172.78865836286923,
21,1767810003.0656419,1170596,strong_user_01,password_3,unknown,SHA256,False,False,False,False,False,401,False,151.35831327474287,
22,1767810003.2170002,1170596,strong_user_02,password_3,unknown,SHA256,False,False,False,False,False,401,False,162.3737821463638,
23,1767810003.379374,1170596,strong_user_03,password_3,unknown,SHA256,False,False,False,False,False,401,False,187.20159881770059,
24,1767810003.5665755,1170596,strong_user_04,password_3,unknown,SHA256,False,False,False,False,False,401,False,104.7446471633329,
25,1767810003.6713202,1170596,strong_user_05,password_3,unknown,SHA256,False,False,False,False,False,401,False,184.02398011505545,
26,1767810003.8553443,1170596,strong_user_06,password_3,unknown,SHA256,False,False,False,False,False,401,False,146.77225121623155,
27,1767810004.0021164,1170596,strong_user_07,password_3,unknown,SHA256,False,False,False,False,False,401,False,179.16935021573823,
28,1767810004.1812859,1170596,strong_user_08,password_3,unknown,SHA256,False,False,False,False,False,401,False,133.55160098039542,
29,1767810004.3148375,1170596,strong_user_09,password_3,unknown,SHA256,False,False,False,False,False,401,False,127.70599807142655,
30,1767810004.4425435,1170596,strong_user_10,password_3,unknown,SHA256,False,False,False,False,False,401,False,106.05047537861373,
31,1767810004.548594,1170596,strong_user_01,password_4,unknown,SHA256,False,False,False,False,False,401,False,125.69845019740517,
32,1767810004.6742926,1170596,strong_user_02,password_4,unknown,SHA256,False,False,False,False,False,401,False,103.00083954741606,
33,1767810004.7772934,1170596,strong_user_03,password_4,unknown,SHA256,False,False,False,False,False,401,False,163.43636934024565,
34,1767810004.9407299,1170596,strong_user_04,password_4,unknown,SHA256,False,False,False,False,False,401,False,130.87966734331465,
35,1767810005.0716095,1170596,strong_user_05,password_4,unknown,SHA256,False,False,False,False,False,401,False,188.76182967677155,
36,1767810005.2603712,1170596,strong_user_06,password_4,unknown,SHA256,False,False,False,False,False,401,False,119.51135851172941,
37,1767810005.3798826,1170596,strong_user_07,password_4,unknown,SHA256,False,False,False,False,False,401,False,192.16294603466466,
38,1767810005.5720456,1170596,strong_user_08,password_4,unknown,SHA256,False,False,False,False,False,401,False,199.12175132694927,
