attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767814000,1170596,strong_user_01,password_1,unknown,SHA256,False,False,False,True,False,401,False,157.81518088374645,
2,1767814000.1578152,1170596,strong_user_02,password_1,unknown,SHA256,False,False,False,True,False,401,False,157.82313802677632,
3,1767814000.3156383,1170596,strong_user_03,password_1,unknown,SHA256,False,False,False,True,False,401,False,103.63074776747386,
4,1767814000.419269,1170596,strong_user_04,password_1,unknown,SHA256,False,False,False,True,False,401,False,140.34839449029351,
5,1767814000.5596175,1170596,strong_user_05,password_1,unknown,SHA256,False,False,False,True,False,401,False,179.02925106651062,
6,1767814000.7386467,1170596,strong_user_06,password_1,unknown,SHA256,False,False,False,True,False,401,False,103.74281477831484,
7,1767814000.8423896,1170596,strong_user_07,password_1,unknown,SHA256,False,False,False,True,False,401,False,102.59699227964589,
8,1767814000.9449866,1170596,strong_user_08,password_1,unknown,SHA256,False,False,False,True,False,401,False,102.87774219048063,
9,1767814001.0478644,1170596,strong_user_09,password_1,unknown,SHA256,False,False,False,True,False,401,False,129.62754410864537,
10,1767814001.177492,1170596,strong_user_10,password_1,unknown,SHA256,False,False,False,True,False,401,False,114.52250359729933,
11,1767814001.2920144,1170596,strong_user_01,password_2,unknown,SHA256,False,False,False,True,False,401,False,147.7357189908788,
12,1767814001.4397502,1170596,strong_user_02,password_2,unknown,SHA256,False,False,False,True,False,401,False,151.3960720434971,
13,1767814001.5911462,1170596,strong_user_03,password_2,unknown,SHA256,False,False,False,True,False,401,False,113.72791888100744,
14,1767814001.704874,1170596,strong_user_04,password_2,unknown,SHA256,False,False,False,True,False,401,False,146.82901722288915,
15,1767814001.8517032,1170596,strong_user_05,password_2,unknown,SHA256,False,False,False,True,False,401,False,160.33149937310424,
16,1767814002.0120347,1170596,strong_user_06,password_2,unknown,SHA256,False,False,False,True,False,401,False,127.06910920912941,
17,1767814002.1391037,1170596,strong_user_07,password_2,unknown,SHA256,False,False,False,True,False,401,False,196.56280230465572,
18,1767814002.3356664,1170596,strong_user_08,password_2,unknown,SHA256,False,False,False,True,False,401,False,105.43295125641872,
19,1767814002.4410994,1170596,strong_user_09,password_2,unknown,SHA256,False,False,False,True,False,401,False,145.5142298769888,
20,1767814002.5866137,1170596,strong_user_10,password_2,unknown,SHA256,False,False,False,True,False,401,False,171.98885109377318,
21,1767814002.7586026,1170596,strong_user_01,password_3,unknown,SHA256,False,False,False,True,False,401,False,141.83331057683165,
22,1767814002.900436,1170596,strong_user_02,password_3,unknown,SHA256,False,False,False,True,False,401,False,181.63215692074778,
23,1767814003.082068,1170596,strong_user_03,password_3,unknown,SHA256,False,False,False,True,False,401,False,117.79569571697841,
24,1767814003.1998637,1170596,strong_user_04,password_3,unknown,SHA256,False,False,False,True,False,401,False,145.62970280005837,
25,1767814003.3454933,1170596,strong_user_05,password_3,unknown,SHA256,False,False,False,True,False,401,False,145.6333199547685,
26,1767814003.4911265,1170596,strong_user_06,password_3,unknown,SHA256,False,False,False,True,False,401,False,182.73642716684867,
27,1767814003.673863,1170596,strong_user_07,password_3,unknown,SHA256,False,False,False,True,False,401,False,122.71316069047768,
28,1767814003.796576,1170596,strong_user_08,password_3,unknown,SHA256,False,False,False,True,False,401,False,113.61518304709115,
29,1767814003.9101913,1170596,strong_user_09,password_3,unknown,SHA256,False,False,False,True,False,401,False,154.2223723118905,
30,1767814004.0644138,1170596,strong_user_10,password_3,unknown,SHA256,False,False,False,True,False,401,False,124.94901362457387,
