attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767811000,1170596,strong_user_01,password_1,unknown,SHA256,True,False,False,False,False,401,False,118.73849806870881,
2,1767811000.1187384,1170596,strong_user_02,password_1,unknown,SHA256,True,False,False,False,False,401,False,125.98322065821822,
3,1767811000.2447217,1170596,strong_user_03,password_1,unknown,SHA256,True,False,False,False,False,401,False,191.15180602104618,
4,1767811000.4358735,1170596,strong_user_04,password_1,unknown,SHA256,True,False,False,False,False,401,False,197.9033629659367,
5,1767811000.633777,1170596,strong_user_05,password_1,unknown,SHA256,True,False,False,False,False,401,False,117.78535415532681,
6,1767811000.7515624,1170596,strong_user_06,password_1,unknown,SHA256,True,False,False,False,False,401,False,175.21305241409164,
7,1767811000.9267755,1170596,strong_user_07,password_1,unknown,SHA256,True,False,False,False,False,401,False,131.15968620246838,
8,1767811001.0579352,1170596,strong_user_08,password_1,unknown,SHA256,True,False,False,False,False,401,False,142.8202742006095,
9,1767811001.2007556,1170596,strong_user_09,password_1,unknown,SHA256,True,False,False,False,False,401,False,165.05423357434202,
10,1767811001.36581,1170596,strong_user_10,password_1,unknown,SHA256,True,False,False,False,False,401,False,119.73244628269963,
11,1767811006.4855423,1170596,strong_user_01,password_2,unknown,SHA256,True,False,False,False,False,401,False,165.00083445160877,
12,1767811006.6505432,1170596,strong_user_02,password_2,unknown,SHA256,True,False,False,False,False,401,False,105.89365489324453,
13,1767811006.7564368,1170596,strong_user_03,password_2,unknown,SHA256,True,False,False,False,False,401,False,132.8014998956657,
14,1767811006.8892384,1170596,strong_user_04,password_2,unknown,SHA256,True,False,False,False,False,401,False,162.2798191865213,
15,1767811007.0515182,1170596,strong_user_05,password_2,unknown,SHA256,True,False,False,False,False,401,False,153.135917512729,
16,1767811007.2046542,1170596,strong_user_06,password_2,unknown,SHA256,True,False,False,False,False,401,False,112.11588513643775,
17,1767811007.31677,1170596,strong_user_07,password_2,unknown,SHA256,True,False,False,False,False,401,False,172.48682447143688,
18,1767811007.4892569,1170596,strong_user_08,password_2,unknown,SHA256,True,False,False,False,False,401,False,111.16390828078954,
19,1767811007.6004207,1170596,strong_user_09,password_2,unknown,SHA256,True,False,False,False,False,401,False,175.51998490623075,
20,1767811007.7759407,1170596,strong_user_10,password_2,unknown,SHA256,True,False,False,False,False,401,False,174.06668869640498,
21,1767811012.9500074,1170596,strong_user_01,password_3,unknown,SHA256,True,False,False,False,False,401,False,155.9589308458706,
22,1767811013.1059663,1170596,strong_user_02,password_3,unknown,SHA256,True,False,False,False,False,401,False,100.58013814646311,
23,1767811013.2065465,1170596,strong_user_03,password_3,unknown,SHA256,True,False,False,False,False,401,False,142.9148132506092,
24,1767811013.3494613,1170596,strong_user_04,password_3,unknown,SHA256,True,False,False,False,False,401,False,148.48382538323912,
25,1767811013.497945,1170596,strong_user_05,password_3,unknown,SHA256,True,False,False,False,False,401,False,165.60604064115705,
26,1767811013.663551,1170596,strong_user_06,password_3,unknown,SHA256,True,False,False,False,False,401,False,146.02871767180562,
27,1767811013.8095798,1170596,strong_user_07,password_3,unknown,SHA256,True,False,False,False,False,401,False,169.37078432642596,
28,1767811013.9789507,1170596,strong_user_08,password_3,unknown,SHA256,True,False,False,False,False,401,False,145.06377681319265,
29,1767811014.1240146,1170596,strong_user_09,password_3,unknown,SHA256,True,False,False,False,False,401,False,125.92595351106304,
30,1767811014.2499406,1170596,strong_user_10,password_3,unknown,SHA256,True,False,False,False,False,401,False,162.38880900381318,
31,1767811019.4123294,1170596,strong_user_01,password_4,unknown,SHA256,True,False,False,False,False,401,False,144.80587527606818,
32,1767811019.5571353,1170596,strong_user_02,password_4,unknown,SHA256,True,False,False,False,False,401,False,176.2679452806236,
33,1767811019.7334032,1170596,strong_user_03,password_4,unknown,SHA256,True,False,False,False,False,401,False,188.70488882303036,
34,1767811019.9221082,1170596,strong_user_04,password_4,unknown,SHA256,True,False,False,False,False,401,False,153.92520512145347,
35,1767811020.0760334,1170596,strong_user_05,password_4,unknown,SHA256,True,False,False,False,False,401,False,183.81208009220782,
36,1767811020.2598455,1170596,strong_user_06,password_4,unknown,SHA256,True,False,False,False,False,401,False,107.11618808623366,
37,1767811020.3669617,1170596,strong_user_07,password_4,unknown,SHA256,True,False,False,False,False,401,False,152.70455778743758,
38,1767811020.5196662,1170596,strong_user_08,password_4,unknown,SHA256,True,False,False,False,False,401,False,129.32726542105397,
39,1767811020.6489935,1170596,strong_user_09,password_4,unknown,SHA256,True,False,False,False,False,401,False,181.78183114147694,
40,1767811020.8307753,1170596,strong_user_10,password_4,unknown,SHA256,True,False,False,False,False,401,False,116.46144011539656,
41,1767811025.9472368,1170596,strong_user_01,password_5,unknown,SHA256,True,False,False,False,False,401,False,169.63621106070815,
42,1767811026.116873,1170596,strong_user_02,password_5,unknown,SHA256,True,False,False,False,False,401,False,155.57629601960642,
43,1767811026.2724493,1170596,strong_user_03,password_5,unknown,SHA256,True,False,False,False,False,401,False,125.45236053379503,
44,1767811026.3979015,1170596,strong_user_04,password_5,unknown,SHA256,True,False,False,False,False,401,False,121.25092853599939,
45,1767811026.5191524,1170596,strong_user_05,password_5,unknown,SHA256,True,False,False,False,False,401,False,149.62833851190152,
46,1767811026.6687808,1170596,strong_user_06,password_5,unknown,SHA256,True,False,False,False,False,401,False,198.54316976132105,
47,1767811026.8673239,1170596,strong_user_07,password_5,unknown,SHA256,True,False,False,False,False,401,False,193.45667604560123,
48,1767811027.0607805,1170596,strong_user_08,password_5,unknown,SHA256,True,False,False,False,False,401,False,188.35255346402118,
49,1767811027.249133,1170596,strong_user_09,password_5,unknown,SHA256,True,False,False,False,False,401,False,143.66400954079708,
50,1767811027.3927972,1170596,strong_user_10,password_5,unknown,SHA256,True,False,False,False,False,401,False,132.5891574857077,
51,1767811032.5253863,1170596,strong_user_01,password_6,unknown,SHA256,True,False,False,False,False,401,False,130.44467220943926,
