attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767816000,1170596,strong_user_01,password_1,unknown,SHA256,True,True,False,False,False,401,False,185.78734279875744,
2,1767816000.1857874,1170596,strong_user_02,password_1,unknown,SHA256,True,True,False,False,False,401,False,170.71755615925383,
3,1767816000.356505,1170596,strong_user_03,password_1,unknown,SHA256,True,True,False,False,False,401,False,107.24126832896141,
4,1767816000.463746,1170596,strong_user_04,password_1,unknown,SHA256,True,True,False,False,False,401,False,185.07042099647202,
5,1767816000.6488166,1170596,strong_user_05,password_1,unknown,SHA256,True,True,False,False,False,401,False,129.53758783420233,
6,1767816000.7783542,1170596,strong_user_06,password_1,unknown,SHA256,True,True,False,False,False,401,False,102.6163777257359,
7,1767816000.8809705,1170596,strong_user_07,password_1,unknown,SHA256,True,True,False,False,False,401,False,145.6672184110637,
8,1767816001.0266378,1170596,strong_user_08,password_1,unknown,SHA256,True,True,False,False,False,401,False,171.05546856121802,
9,1767816001.1976933,1170596,strong_user_09,password_1,unknown,SHA256,True,True,False,False,False,401,False,164.21097136289944,
10,1767816001.3619044,1170596,strong_user_10,password_1,unknown,SHA256,True,True,False,False,False,401,False,169.96896720670796,
11,1767816006.5318735,1170596,strong_user_01,password_2,unknown,SHA256,True,True,False,False,False,401,False,184.14483344587003,
12,1767816006.7160182,1170596,strong_user_02,password_2,unknown,SHA256,True,True,False,False,False,401,False,176.50290614037476,
13,1767816006.8925211,1170596,strong_user_03,password_2,unknown,SHA256,True,True,False,False,False,401,False,143.79596790017757,
14,1767816007.036317,1170596,strong_user_04,password_2,unknown,SHA256,True,True,False,False,False,401,False,127.88565215776313,
15,1767816007.1642027,1170596,strong_user_05,password_2,unknown,SHA256,True,True,False,False,False,401,False,116.67299231200836,
16,1767816007.2808757,1170596,strong_user_06,password_2,unknown,SHA256,True,True,False,False,False,401,False,126.50653192947001,
17,1767816007.4073822,1170596,strong_user_07,password_2,unknown,SHA256,True,True,False,False,False,401,False,185.09020048459172,
18,1767816007.5924726,1170596,strong_user_08,password_2,unknown,SHA256,True,True,False,False,False,401,False,126.24793223432738,
19,1767816007.7187204,1170596,strong_user_09,password_2,unknown,SHA256,True,True,False,False,False,401,False,167.6513482116152,
20,1767816007.8863719,1170596,strong_user_10,password_2,unknown,SHA256,True,True,False,False,False,401,False,118.4718896760254,
21,1767816013.0048437,1170596,strong_user_01,password_3,unknown,SHA256,True,True,False,False,False,401,False,173.70548575561895,
22,1767816013.1785493,1170596,strong_user_02,password_3,unknown,SHA256,True,True,False,False,False,401,False,116.01930603736083,
23,1767816013.2945685,1170596,strong_user_03,password_3,unknown,SHA256,True,True,False,False,False,401,False,185.94915131441877,
24,1767816013.4805176,1170596,strong_user_04,password_3,unknown,SHA256,True,True,False,False,False,401,False,107.27240283259101,
25,1767816013.58779,1170596,strong_user_05,password_3,unknown,SHA256,True,True,False,False,False,401,False,137.57773488266662,
