attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767815000,1170596,strong_user_01,password_1,unknown,SHA256,False,False,False,False,True,401,False,105.02445094376513,Invalid TOTP
2,1767815000.1050243,1170596,strong_user_02,password_1,unknown,SHA256,False,False,False,False,True,401,False,185.64202354628048,Invalid TOTP
3,1767815000.2906663,1170596,strong_user_03,password_1,unknown,SHA256,False,False,False,False,True,401,False,150.43018187293217,Invalid TOTP
4,1767815000.4410965,1170596,strong_user_04,password_1,unknown,SHA256,False,False,False,False,True,401,False,103.05457732969268,Invalid TOTP
5,1767815000.544151,1170596,strong_user_05,password_1,unknown,SHA256,False,False,False,False,True,401,False,147.58787199314486,Invalid TOTP
6,1767815000.6917388,1170596,strong_user_06,password_1,unknown,SHA256,False,False,False,False,True,401,False,176.0750645991427,Invalid TOTP
7,1767815000.8678138,1170596,strong_user_07,password_1,unknown,SHA256,False,False,False,False,True,401,False,143.34954728696985,Invalid TOTP
8,1767815001.0111635,1170596,strong_user_08,password_1,unknown,SHA256,False,False,False,False,True,401,False,166.51798649637962,Invalid TOTP
9,1767815001.1776814,1170596,strong_user_09,password_1,unknown,SHA256,False,False,False,False,True,401,False,120.19224508329398,Invalid TOTP
10,1767815001.2978737,1170596,strong_user_10,password_1,unknown,SHA256,False,False,False,False,True,401,False,171.53138054544422,Invalid TOTP
11,1767815001.4694052,1170596,strong_user_01,password_2,unknown,SHA256,False,False,False,False,True,401,False,183.65363818199245,Invalid TOTP
12,1767815001.6530588,1170596,strong_user_02,password_2,unknown,SHA256,False,False,False,False,True,401,False,163.36760562948726,Invalid TOTP
13,1767815001.8164263,1170596,strong_user_03,password_2,unknown,SHA256,False,False,False,False,True,401,False,155.6533818289522,Invalid TOTP
14,1767815001.9720798,1170596,strong_user_04,password_2,unknown,SHA256,False,False,False,False,True,401,False,191.45842106499657,Invalid TOTP
15,1767815002.1635382,1170596,strong_user_05,password_2,unknown,SHA256,False,False,False,False,True,401,False,178.25249895113924,Invalid TOTP
16,1767815002.3417907,1170596,strong_user_06,password_2,unknown,SHA256,False,False,False,False,True,401,False,151.80343216019207,Invalid TOTP
17,1767815002.4935942,1170596,strong_user_07,password_2,unknown,SHA256,False,False,False,False,True,401,False,135.36916419684636,Invalid TOTP
18,1767815002.6289632,1170596,strong_user_08,password_2,unknown,SHA256,False,False,False,False,True,401,False,169.71686472753294,Invalid TOTP
19,1767815002.79868,1170596,strong_user_09,password_2,unknown,SHA256,False,False,False,False,True,401,False,196.5782049357405,Invalid TOTP
20,1767815002.9952583,1170596,strong_user_10,password_2,unknown,SHA256,False,False,False,False,True,401,False,101.10574416080297,Invalid TOTP
21,1767815003.096364,1170596,strong_user_01,password_3,unknown,SHA256,False,False,False,False,True,401,False,136.65135647651192,Invalid TOTP
22,1767815003.2330153,1170596,strong_user_02,password_3,unknown,SHA256,False,False,False,False,True,401,False,118.23695972700142,Invalid TOTP
23,1767815003.3512523,1170596,strong_user_03,password_3,unknown,SHA256,False,False,False,False,True,401,False,183.2350437145451,Invalid TOTP
24,1767815003.5344872,1170596,strong_user_04,password_3,unknown,SHA256,False,False,False,False,True,401,False,172.87765942903735,Invalid TOTP
25,1767815003.7073648,1170596,strong_user_05,password_3,unknown,SHA256,False,False,False,False,True,401,False,165.10748351082455,Invalid TOTP
26,1767815003.8724723,1170596,strong_user_06,password_3,unknown,SHA256,False,False,False,False,True,401,False,160.18793108459354,Invalid TOTP
27,1767815004.0326602,1170596,strong_user_07,password_3,unknown,SHA256,False,False,False,False,True,401,False,185.8646758560398,Invalid TOTP
28,1767815004.218525,1170596,strong_user_08,password_3,unknown,SHA256,False,False,False,False,True,401,False,145.10905433062254,Invalid TOTP
29,1767815004.3636339,1170596,strong_user_09,password_3,unknown,SHA256,False,False,False,False,True,401,False,198.95858625222343,Invalid TOTP
30,1767815004.5625925,1170596,strong_user_10,password_3,unknown,SHA256,False,False,False,False,True,401,False,137.04768223492565,Invalid TOTP
31,1767815004.6996403,1170596,strong_user_01,password_4,unknown,SHA256,False,False,False,False,True,401,False,171.43526975008416,Invalid TOTP
32,1767815004.8710756,1170596,strong_user_02,password_4,unknown,SHA256,False,False,False,False,True,401,False,110.83722731510784,Invalid TOTP
33,1767815004.9819129,1170596,strong_user_03,password_4,unknown,SHA256,False,False,False,False,True,401,False,189.21146563684897,Invalid TOTP
34,1767815005.1711242,1170596,strong_user_04,password_4,unknown,SHA256,False,False,False,False,True,401,False,146.30154931526124,Invalid TOTP
35,1767815005.3174257,1170596,strong_user_05,password_4,unknown,SHA256,False,False,False,False,True,401,False,175.05550254243138,Invalid TOTP
36,1767815005.4924812,1170596,strong_user_06,password_4,unknown,SHA256,False,False,False,False,True,401,False,199.57193919504482,Invalid TOTP
37,1767815005.692053,1170596,strong_user_07,password_4,unknown,SHA256,False,False,False,False,True,401,False,199.46860757171743,Invalid TOTP
38,1767815005.8915217,1170596,strong_user_08,password_4,unknown,SHA256,False,False,False,False,True,401,False,150.78398615593196,Invalid TOTP
39,1767815006.0423057,1170596,strong_user_09,password_4,unknown,SHA256,False,False,False,False,True,401,False,161.79557712178493,Invalid TOTP
40,1767815006.2041013,1170596,strong_user_10,password_4,unknown,SHA256,False,False,False,False,True,401,False,101.5353504722962,Invalid TOTP
41,1767815006.3056366,1170596,strong_user_01,password_5,unknown,SHA256,False,False,False,False,True,401,False,180.66787824067103,Invalid TOTP
42,1767815006.4863045,1170596,strong_user_02,password_5,unknown,SHA256,False,False,False,False,True,401,False,111.91555297729731,Invalid TOTP
43,1767815006.59822,1170596,strong_user_03,password_5,unknown,SHA256,False,False,False,False,True,401,False,187.70258901417327,Invalid TOTP
44,1767815006.7859228,1170596,strong_user_04,password_5,unknown,SHA256,False,False,False,False,True,401,False,164.510009701296,Invalid TOTP
45,1767815006.9504328,1170596,strong_user_05,password_5,unknown,SHA256,False,False,False,False,True,401,False,147.97564938955554,Invalid TOTP
46,1767815007.0984085,1170596,strong_user_06,password_5,unknown,SHA256,False,False,False,False,True,401,False,114.371748440848,Invalid TOTP
47,1767815007.2127802,1170596,strong_user_07,password_5,unknown,SHA256,False,False,False,False,True,401,False,186.46169346588738,Invalid TOTP
48,1767815007.399242,1170596,strong_user_08,password_5,unknown,SHA256,False,False,False,False,True,401,False,129.39676246272353,Invalid TOTP
49,1767815007.5286386,1170596,strong_user_09,password_5,unknown,SHA256,False,False,False,False,True,401,False,194.63694233760918,Invalid TOTP
50,1767815007.7232757,1170596,strong_user_10,password_5,unknown,SHA256,False,False,False,False,True,401,False,184.20164834008904,Invalid TOTP
51,1767815007.9074774,1170596,strong_user_01,password_6,unknown,SHA256,False,False,False,False,True,401,False,133.68365138436997,Invalid TOTP
52,1767815008.041161,1170596,strong_user_02,password_6,unknown,SHA256,False,False,False,False,True,401,False,117.4080827931364,Invalid TOTP
53,1767815008.158569,1170596,strong_user_03,password_6,unknown,SHA256,False,False,False,False,True,401,False,179.04546095857768,Invalid TOTP
54,1767815008.3376145,1170596,strong_user_04,password_6,unknown,SHA256,False,False,False,False,True,401,False,149.8282515216238,Invalid TOTP
55,1767815008.4874427,1170596,strong_user_05,password_6,unknown,SHA256,False,False,False,False,True,401,False,164.89791912325967,Invalid TOTP
56,1767815008.6523407,1170596,strong_user_06,password_6,unknown,SHA256,False,False,False,False,True,401,False,158.57749220802614,Invalid TOTP
57,1767815008.810918,1170596,strong_user_07,password_6,unknown,SHA256,False,False,False,False,True,401,False,172.38224143374288,Invalid TOTP
58,1767815008.9833004,1170596,strong_user_08,password_6,unknown,SHA256,False,False,False,False,True,401,False,137.09962421308393,Invalid TOTP
59,1767815009.1204002,1170596,strong_user_09,password_6,unknown,SHA256,False,False,False,False,True,401,False,108.69942123370713,Invalid TOTP
60,1767815009.2290995,1170596,strong_user_10,password_6,unknown,SHA256,False,False,False,False,True,401,False,189.78920173710884,Invalid TOTP
61,1767815009.4188888,1170596,strong_user_01,password_7,unknown,SHA256,False,False,False,False,True,401,False,139.46067168107646,Invalid TOTP
62,1767815009.5583494,1170596,strong_user_02,password_7,unknown,SHA256,False,False,False,False,True,401,False,184.45204102553305,Invalid TOTP
63,1767815009.7428014,1170596,strong_user_03,password_7,unknown,SHA256,False,False,False,False,True,401,False,128.38907073032044,Invalid TOTP
64,1767815009.8711905,1170596,strong_user_04,password_7,unknown,SHA256,False,False,False,False,True,401,False,172.1209258016027,Invalid TOTP
65,1767815010.0433114,1170596,strong_user_05,password_7,unknown,SHA256,False,False,False,False,True,401,False,185.53657702599315,Invalid TOTP
66,1767815010.228848,1170596,strong_user_06,password_7,unknown,SHA256,False,False,False,False,True,401,False,172.25393115177997,Invalid TOTP
67,1767815010.4011018,1170596,strong_user_07,password_7,unknown,SHA256,False,False,False,False,True,401,False,146.96819306411226,Invalid TOTP
68,1767815010.54807,1170596,strong_user_08,password_7,unknown,SHA256,False,False,False,False,True,401,False,184.20961085687532,Invalid TOTP
69,1767815010.7322795,1170596,strong_user_09,password_7,unknown,SHA256,False,False,False,False,True,401,False,108.15540173355427,Invalid TOTP
70,1767815010.840435,1170596,strong_user_10,password_7,unknown,SHA256,False,False,False,False,True,401,False,177.74021890281335,Invalid TOTP
71,1767815011.0181754,1170596,strong_user_01,password_8,unknown,SHA256,False,False,False,False,True,401,False,198.31902615856797,Invalid TOTP
72,1767815011.2164943,1170596,strong_user_02,password_8,unknown,SHA256,False,False,False,False,True,401,False,114.44035733419543,Invalid TOTP
73,1767815011.3309348,1170596,strong_user_03,password_8,unknown,SHA256,False,False,False,False,True,401,False,187.1845308967181,Invalid TOTP
74,1767815011.5181193,1170596,strong_user_04,password_8,unknown,SHA256,False,False,False,False,True,401,False,187.31511059377755,Invalid TOTP
75,1767815011.7054346,1170596,strong_user_05,password_8,unknown,SHA256,False,False,False,False,True,401,False,158.34605793775034,Invalid TOTP
76,1767815011.8637807,1170596,strong_user_06,password_8,unknown,SHA256,False,False,False,False,True,401,False,139.92232426816727,Invalid TOTP
77,1767815012.003703,1170596,strong_user_07,password_8,unknown,SHA256,False,False,False,False,True,401,False,147.93372858216358,Invalid TOTP
78,1767815012.1516368,1170596,strong_user_08,password_8,unknown,SHA256,False,False,False,False,True,401,False,169.0104853404407,Invalid TOTP
79,1767815012.3206472,1170596,strong_user_09,password_8,unknown,SHA256,False,False,False,False,True,401,False,125.22689563408267,Invalid TOTP
80,1767815012.4458742,1170596,strong_user_10,password_8,unknown,SHA256,False,False,False,False,True,401,False,140.32769548982503,Invalid TOTP
81,1767815012.586202,1170596,strong_user_01,password_9,unknown,SHA256,False,False,False,False,True,401,False,105.46013074239107,Invalid TOTP
82,1767815012.691662,1170596,strong_user_02,password_9,unknown,SHA256,False,False,False,False,True,401,False,158.82870254886507,Invalid TOTP
83,1767815012.8504908,1170596,strong_user_03,password_9,unknown,SHA256,False,False,False,False,True,401,False,136.48855017447306,Invalid TOTP
84,1767815012.9869792,1170596,strong_user_04,password_9,unknown,SHA256,False,False,False,False,True,401,False,111.47231238795457,Invalid TOTP
85,1767815013.0984516,1170596,strong_user_05,password_9,unknown,SHA256,False,False,False,False,True,401,False,131.949730308249,Invalid TOTP
86,1767815013.2304013,1170596,strong_user_06,password_9,unknown,SHA256,False,False,False,False,True,401,False,182.14918501236843,Invalid TOTP
87,1767815013.4125504,1170596,strong_user_07,password_9,unknown,SHA256,False,False,False,False,True,401,False,147.827311302403,Invalid TOTP
88,1767815013.5603778,1170596,strong_user_08,password_9,unknown,SHA256,False,False,False,False,True,401,False,177.01912659095206,Invalid TOTP
89,1767815013.737397,1170596,strong_user_09,password_9,unknown,SHA256,False,False,False,False,True,401,False,137.78926896129,Invalid TOTP
90,1767815013.8751862,1170596,strong_user_10,password_9,unknown,SHA256,False,False,False,False,True,401,False,103.29683981769975,Invalid TOTP
91,1767815013.978483,1170596,strong_user_01,password_10,unknown,SHA256,False,False,False,False,True,401,False,167.33433327683105,Invalid TOTP
92,1767815014.1458173,1170596,strong_user_02,password_10,unknown,SHA256,False,False,False,False,True,401,False,198.5631861532408,Invalid TOTP
93,1767815014.3443804,1170596,strong_user_03,password_10,unknown,SHA256,False,False,False,False,True,401,False,123.39808516019008,Invalid TOTP
94,1767815014.4677784,1170596,strong_user_04,password_10,unknown,SHA256,False,False,False,False,True,401,False,123.95986487257335,Invalid TOTP
95,1767815014.5917382,1170596,strong_user_05,password_10,unknown,SHA256,False,False,False,False,True,401,False,134.63380993739207,Invalid TOTP
96,1767815014.726372,1170596,strong_user_06,password_10,unknown,SHA256,False,False,False,False,True,401,False,169.1782781675155,Invalid TOTP
97,1767815014.8955503,1170596,strong_user_07,password_10,unknown,SHA256,False,False,False,False,True,401,False,107.55330219730897,Invalid TOTP
98,1767815015.0031035,1170596,strong_user_08,password_10,unknown,SHA256,False,False,False,False,True,401,False,186.37544747390598,Invalid TOTP
99,1767815015.1894789,1170596,strong_user_09,password_10,unknown,SHA256,False,False,False,False,True,401,False,130.59145076156537,Invalid TOTP
100,1767815015.3200703,1170596,strong_user_10,password_10,unknown,SHA256,False,False,False,False,True,401,False,113.61896259861932,Invalid TOTP
101,1767815015.433689,1170596,strong_user_01,password_11,unknown,SHA256,False,False,False,False,True,401,False,135.6355102233539,Invalid TOTP
102,1767815015.5693247,1170596,strong_user_02,password_11,unknown,SHA256,False,False,False,False,True,401,False,183.0234102989134,Invalid TOTP
103,1767815015.7523482,1170596,strong_user_03,password_11,unknown,SHA256,False,False,False,False,True,401,False,109.86769648185148,Invalid TOTP
104,1767815015.862216,1170596,strong_user_04,password_11,unknown,SHA256,False,False,False,False,True,401,False,193.77144147777636,Invalid TOTP
105,1767815016.0559874,1170596,strong_user_05,password_11,unknown,SHA256,False,False,False,False,True,401,False,177.24422314617283,Invalid TOTP
106,1767815016.2332315,1170596,strong_user_06,password_11,unknown,SHA256,False,False,False,False,True,401,False,183.78905429683485,Invalid TOTP
107,1767815016.4170206,1170596,strong_user_07,password_11,unknown,SHA256,False,False,False,False,True,401,False,101.87456855491999,Invalid TOTP
108,1767815016.5188951,1170596,strong_user_08,password_11,unknown,SHA256,False,False,False,False,True,401,False,192.76495208428872,Invalid TOTP
109,1767815016.7116601,1170596,strong_user_09,password_11,unknown,SHA256,False,False,False,False,True,401,False,117.74694307626764,Invalid TOTP
110,1767815016.829407,1170596,strong_user_10,password_11,unknown,SHA256,False,False,False,False,True,401,False,144.236161054355,Invalid TOTP
111,1767815016.973643,1170596,strong_user_01,password_12,unknown,SHA256,False,False,False,False,True,401,False,119.9780249584287,Invalid TOTP
112,1767815017.093621,1170596,strong_user_02,password_12,unknown,SHA256,False,False,False,False,True,401,False,177.03932958384894,Invalid TOTP
113,1767815017.2706604,1170596,strong_user_03,password_12,unknown,SHA256,False,False,False,False,True,401,False,181.50740540159975,Invalid TOTP
