attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767852000,1170596,weak_user_01,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,289.773910805624,
2,1767852000.289774,1170596,weak_user_02,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,272.254940434573,
3,1767852000.562029,1170596,weak_user_03,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,269.3704689401742,
4,1767852000.8313994,1170596,weak_user_04,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,290.06093448186914,
5,1767852001.1214604,1170596,weak_user_05,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,241.64579197391154,
6,1767852001.3631063,1170596,weak_user_06,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,233.23199756259538,
7,1767852001.5963383,1170596,weak_user_07,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,200.40147195794833,
8,1767852001.7967398,1170596,weak_user_08,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,220.85703410788284,
9,1767852002.017597,1170596,weak_user_09,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,270.3293301215894,
10,1767852002.2879262,1170596,weak_user_10,password_1,unknown,ARGON2ID,False,True,False,False,False,401,False,264.6618352328481,
11,1767852002.552588,1170596,weak_user_01,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,277.81260561812405,
12,1767852002.8304007,1170596,weak_user_02,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,278.8423950500231,
13,1767852003.1092432,1170596,weak_user_03,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,260.0630220113993,
14,1767852003.369306,1170596,weak_user_04,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,278.70740312880133,
15,1767852003.6480136,1170596,weak_user_05,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,276.78728077354356,
16,1767852003.9248009,1170596,weak_user_06,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,234.20627124724348,
17,1767852004.159007,1170596,weak_user_07,password_2,unknown,ARGON2ID,False,True,False,False,False,401,False,258.04553165397294,
