attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767850000,1170596,weak_user_01,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,274.89846045339976,
2,1767850000.2748985,1170596,weak_user_02,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,296.50900586379964,
3,1767850000.5714076,1170596,weak_user_03,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,288.6605387470678,
4,1767850000.860068,1170596,weak_user_04,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,254.28346930387343,
5,1767850001.1143515,1170596,weak_user_05,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,205.76159863083515,
6,1767850001.3201132,1170596,weak_user_06,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,287.0406643859993,
7,1767850001.607154,1170596,weak_user_07,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,272.31169061309777,
8,1767850001.8794656,1170596,weak_user_08,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,205.21951230868794,
9,1767850002.084685,1170596,weak_user_09,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,256.0794504984519,
10,1767850002.3407645,1170596,weak_user_10,password_1,unknown,ARGON2ID,False,False,False,False,False,401,False,261.4393720133577,
11,1767850002.6022038,1170596,weak_user_01,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,259.36750675743633,
12,1767850002.8615713,1170596,weak_user_02,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,221.62024653450155,
13,1767850003.0831916,1170596,weak_user_03,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,236.23902689639317,
14,1767850003.3194306,1170596,weak_user_04,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,220.30388049092258,
15,1767850003.5397344,1170596,weak_user_05,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,203.89228851088933,
16,1767850003.7436266,1170596,weak_user_06,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,295.74832056956535,
17,1767850004.0393748,1170596,weak_user_07,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,212.78102395392995,
18,1767850004.2521558,1170596,weak_user_08,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,287.398232454078,
19,1767850004.539554,1170596,weak_user_09,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,269.10215424647754,
20,1767850004.8086562,1170596,weak_user_10,password_2,unknown,ARGON2ID,False,False,False,False,False,401,False,284.24439168344963,
21,1767850005.0929005,1170596,weak_user_01,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,277.8753352505288,
22,1767850005.370776,1170596,weak_user_02,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,292.1368418393982,
23,1767850005.6629128,1170596,weak_user_03,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,238.47958190412731,
24,1767850005.9013925,1170596,weak_user_04,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,278.83622587850664,
25,1767850006.1802287,1170596,weak_user_05,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,271.2486542539228,
26,1767850006.4514773,1170596,weak_user_06,password_3,unknown,ARGON2ID,False,False,False,False,False,401,False,234.79999981191776,
