attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767854000,1170596,weak_user_01,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,281.62077825274196,
2,1767854000.2816207,1170596,weak_user_02,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,210.4330915864169,
3,1767854000.4920537,1170596,weak_user_03,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,274.08841979650714,
4,1767854000.7661421,1170596,weak_user_04,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,220.3114037567722,
5,1767854000.9864535,1170596,weak_user_05,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,277.56077068058266,
6,1767854001.2640142,1170596,weak_user_06,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,233.58209757993535,
7,1767854001.4975963,1170596,weak_user_07,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,243.61039563479275,
8,1767854001.7412066,1170596,weak_user_08,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,281.7606626483427,
9,1767854002.0229673,1170596,weak_user_09,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,210.18222716887064,
10,1767854002.2331495,1170596,weak_user_10,password_1,unknown,ARGON2ID,False,False,False,True,False,401,False,292.15721499793176,
11,1767854002.5253067,1170596,weak_user_01,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,200.5156031663422,
12,1767854002.7258222,1170596,weak_user_02,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,236.8498430799809,
13,1767854002.962672,1170596,weak_user_03,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,215.71227033197277,
14,1767854003.1783843,1170596,weak_user_04,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,288.9851915392503,
15,1767854003.4673696,1170596,weak_user_05,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,265.67836087570447,
16,1767854003.733048,1170596,weak_user_06,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,236.62511691022831,
17,1767854003.9696732,1170596,weak_user_07,password_2,unknown,ARGON2ID,False,False,False,True,False,401,False,212.50590003214032,
