attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767851000,1170596,weak_user_01,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,290.0425932545759,
2,1767851000.2900426,1170596,weak_user_02,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,283.4596590192606,
3,1767851000.5735023,1170596,weak_user_03,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,294.40851375362337,
4,1767851000.8679109,1170596,weak_user_04,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,242.4967918693447,
5,1767851001.1104076,1170596,weak_user_05,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,245.49576072163663,
6,1767851001.3559034,1170596,weak_user_06,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,299.76801143644803,
7,1767851001.6556714,1170596,weak_user_07,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,270.94314797749644,
8,1767851001.9266145,1170596,weak_user_08,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,283.77636741210955,
9,1767851002.2103908,1170596,weak_user_09,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,291.7747546174008,
10,1767851002.5021656,1170596,weak_user_10,password_1,unknown,ARGON2ID,True,False,False,False,False,401,False,282.0248739589923,
11,1767851007.7841904,1170596,weak_user_01,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,270.13732775387473,
12,1767851008.0543277,1170596,weak_user_02,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,286.58714423127265,
13,1767851008.340915,1170596,weak_user_03,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,249.14833587892105,
14,1767851008.5900633,1170596,weak_user_04,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,230.85760468963537,
15,1767851008.820921,1170596,weak_user_05,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,247.22920898895282,
16,1767851009.06815,1170596,weak_user_06,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,223.90037214514948,
17,1767851009.2920504,1170596,weak_user_07,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,224.9767094670787,
18,1767851009.5170271,1170596,weak_user_08,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,298.8294383865377,
19,1767851009.8158567,1170596,weak_user_09,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,233.6540699079465,
20,1767851010.0495107,1170596,weak_user_10,password_2,unknown,ARGON2ID,True,False,False,False,False,401,False,294.3106717355019,
21,1767851015.3438213,1170596,weak_user_01,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,237.90291825287756,
22,1767851015.5817242,1170596,weak_user_02,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,268.2481930655201,
23,1767851015.8499722,1170596,weak_user_03,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,290.8451845621562,
24,1767851016.1408174,1170596,weak_user_04,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,259.3868821184062,
25,1767851016.4002042,1170596,weak_user_05,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,212.63733277157368,
26,1767851016.6128416,1170596,weak_user_06,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,252.1400912317227,
27,1767851016.8649817,1170596,weak_user_07,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,200.78706049144608,
28,1767851017.0657687,1170596,weak_user_08,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,294.8294259585428,
29,1767851017.360598,1170596,weak_user_09,password_3,unknown,ARGON2ID,True,False,False,False,False,401,False,209.34218306119305,
