attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767855000,1170596,weak_user_01,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,291.91544937744675,Invalid TOTP
2,1767855000.2919154,1170596,weak_user_02,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,210.07458916652885,Invalid TOTP
3,1767855000.50199,1170596,weak_user_03,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,264.3879029731739,Invalid TOTP
4,1767855000.766378,1170596,weak_user_04,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,277.14192722849634,Invalid TOTP
5,1767855001.0435197,1170596,weak_user_05,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,294.47991045405934,Invalid TOTP
6,1767855001.3379996,1170596,weak_user_06,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,274.6341874521603,Invalid TOTP
7,1767855001.6126337,1170596,weak_user_07,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,273.11843469781195,Invalid TOTP
8,1767855001.8857522,1170596,weak_user_08,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,288.97005115890255,Invalid TOTP
9,1767855002.1747222,1170596,weak_user_09,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,256.8175860534425,Invalid TOTP
10,1767855002.4315398,1170596,weak_user_10,password_1,unknown,ARGON2ID,False,False,False,False,True,401,False,202.28880752323963,Invalid TOTP
11,1767855002.6338286,1170596,weak_user_01,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,284.4284802052773,Invalid TOTP
12,1767855002.9182572,1170596,weak_user_02,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,253.67362694184663,Invalid TOTP
13,1767855003.1719308,1170596,weak_user_03,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,202.46508465494225,Invalid TOTP
14,1767855003.3743958,1170596,weak_user_04,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,262.67415276854604,Invalid TOTP
15,1767855003.63707,1170596,weak_user_05,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,297.21661935517545,Invalid TOTP
16,1767855003.9342866,1170596,weak_user_06,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,220.55923987833293,Invalid TOTP
17,1767855004.154846,1170596,weak_user_07,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,288.4106687206941,Invalid TOTP
18,1767855004.4432566,1170596,weak_user_08,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,244.97373922189362,Invalid TOTP
19,1767855004.6882303,1170596,weak_user_09,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,293.2830763578312,Invalid TOTP
20,1767855004.9815133,1170596,weak_user_10,password_2,unknown,ARGON2ID,False,False,False,False,True,401,False,291.21442112513955,Invalid TOTP
21,1767855005.2727277,1170596,weak_user_01,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,244.5464400964445,Invalid TOTP
22,1767855005.5172741,1170596,weak_user_02,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,295.15158915300117,Invalid TOTP
23,1767855005.8124256,1170596,weak_user_03,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,284.3909158743562,Invalid TOTP
24,1767855006.0968165,1170596,weak_user_04,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,261.8815125750233,Invalid TOTP
25,1767855006.3586981,1170596,weak_user_05,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,280.91532245481477,Invalid TOTP
26,1767855006.6396134,1170596,weak_user_06,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,200.52001415113182,Invalid TOTP
27,1767855006.8401334,1170596,weak_user_07,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,232.329613346391,Invalid TOTP
28,1767855007.072463,1170596,weak_user_08,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,218.32184541273443,Invalid TOTP
29,1767855007.2907848,1170596,weak_user_09,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,200.00698232981068,Invalid TOTP
30,1767855007.4907918,1170596,weak_user_10,password_3,unknown,ARGON2ID,False,False,False,False,True,401,False,232.13483304227674,Invalid TOTP
31,1767855007.7229266,1170596,weak_user_01,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,214.1352397387264,Invalid TOTP
32,1767855007.9370618,1170596,weak_user_02,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,212.10854103037371,Invalid TOTP
33,1767855008.1491704,1170596,weak_user_03,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,292.3293721193187,Invalid TOTP
34,1767855008.4414997,1170596,weak_user_04,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,231.84046439607215,Invalid TOTP
35,1767855008.67334,1170596,weak_user_05,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,291.1858523416547,Invalid TOTP
36,1767855008.964526,1170596,weak_user_06,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,205.18638849830336,Invalid TOTP
37,1767855009.1697123,1170596,weak_user_07,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,247.85697475567233,Invalid TOTP
38,1767855009.4175694,1170596,weak_user_08,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,201.7416461977359,Invalid TOTP
39,1767855009.619311,1170596,weak_user_09,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,247.69055629357558,Invalid TOTP
40,1767855009.8670015,1170596,weak_user_10,password_4,unknown,ARGON2ID,False,False,False,False,True,401,False,220.31288281232034,Invalid TOTP
41,1767855010.0873144,1170596,weak_user_01,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,237.86958611717802,Invalid TOTP
42,1767855010.3251839,1170596,weak_user_02,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,279.73181363868645,Invalid TOTP
43,1767855010.6049156,1170596,weak_user_03,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,234.52231859652758,Invalid TOTP
44,1767855010.839438,1170596,weak_user_04,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,239.19451757793604,Invalid TOTP
45,1767855011.0786326,1170596,weak_user_05,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,251.98306927698934,Invalid TOTP
46,1767855011.3306158,1170596,weak_user_06,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,260.6983651759918,Invalid TOTP
47,1767855011.591314,1170596,weak_user_07,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,274.206313884594,Invalid TOTP
48,1767855011.8655205,1170596,weak_user_08,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,254.92767006929589,Invalid TOTP
49,1767855012.120448,1170596,weak_user_09,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,213.07230185431501,Invalid TOTP
50,1767855012.3335204,1170596,weak_user_10,password_5,unknown,ARGON2ID,False,False,False,False,True,401,False,221.75374486605068,Invalid TOTP
51,1767855012.5552742,1170596,weak_user_01,password_6,unknown,ARGON2ID,False,False,False,False,True,401,False,283.05786120704164,Invalid TOTP
52,1767855012.8383322,1170596,weak_user_02,password_6,unknown,ARGON2ID,False,False,False,False,True,401,False,292.13656394685285,Invalid TOTP
