attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767822000,1170596,weak_user_01,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,369.20347390108225,
2,1767822000.3692036,1170596,weak_user_02,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,328.14226266087394,
3,1767822000.6973457,1170596,weak_user_03,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,345.1789477991059,
4,1767822001.0425246,1170596,weak_user_04,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,312.9051927161037,
5,1767822001.35543,1170596,weak_user_05,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,354.6717459090457,
6,1767822001.7101016,1170596,weak_user_06,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,367.40359434934,
7,1767822002.077505,1170596,weak_user_07,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,347.5909713385229,
8,1767822002.425096,1170596,weak_user_08,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,342.36109350194465,
9,1767822002.7674572,1170596,weak_user_09,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,394.5979937580446,
10,1767822003.1620553,1170596,weak_user_10,password_1,unknown,BCRYPT,False,True,False,False,False,401,False,302.652202144164,
11,1767822003.4647074,1170596,weak_user_01,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,302.66860625547235,
12,1767822003.767376,1170596,weak_user_02,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,364.7817096304067,
13,1767822004.1321576,1170596,weak_user_03,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,341.8435476120926,
14,1767822004.4740012,1170596,weak_user_04,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,377.444219745248,
15,1767822004.8514454,1170596,weak_user_05,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,396.76480209890485,
16,1767822005.2482102,1170596,weak_user_06,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,340.9938610084692,
17,1767822005.589204,1170596,weak_user_07,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,311.5319796387142,
18,1767822005.900736,1170596,weak_user_08,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,364.4606077230086,
19,1767822006.2651968,1170596,weak_user_09,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,383.8076589116847,
20,1767822006.6490045,1170596,weak_user_10,password_2,unknown,BCRYPT,False,True,False,False,False,401,False,366.53232384793034,
21,1767822007.0155368,1170596,weak_user_01,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,339.09805121809677,
22,1767822007.3546348,1170596,weak_user_02,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,365.46872596864205,
23,1767822007.7201035,1170596,weak_user_03,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,379.0967475002664,
24,1767822008.0992002,1170596,weak_user_04,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,332.9759796312492,
25,1767822008.432176,1170596,weak_user_05,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,390.0605155962039,
26,1767822008.8222365,1170596,weak_user_06,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,353.7273836436086,
27,1767822009.1759639,1170596,weak_user_07,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,305.29458340377033,
28,1767822009.4812584,1170596,weak_user_08,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,382.2360978706388,
29,1767822009.8634944,1170596,weak_user_09,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,397.3967308392685,
30,1767822010.2608912,1170596,weak_user_10,password_3,unknown,BCRYPT,False,True,False,False,False,401,False,358.5982519998746,
31,1767822010.6194894,1170596,weak_user_01,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,333.8082843439192,
32,1767822010.9532976,1170596,weak_user_02,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,384.1793568513898,
33,1767822011.337477,1170596,weak_user_03,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,329.9791591211174,
34,1767822011.6674562,1170596,weak_user_04,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,351.8244919725918,
35,1767822012.0192807,1170596,weak_user_05,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,339.29577363719517,
36,1767822012.3585765,1170596,weak_user_06,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,389.66556732606875,
37,1767822012.7482421,1170596,weak_user_07,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,329.12664253494233,
38,1767822013.0773687,1170596,weak_user_08,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,362.2087401090833,
39,1767822013.4395776,1170596,weak_user_09,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,346.7213066237335,
40,1767822013.786299,1170596,weak_user_10,password_4,unknown,BCRYPT,False,True,False,False,False,401,False,391.28916918363143,
41,1767822014.1775882,1170596,weak_user_01,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,304.8843762158526,
42,1767822014.4824727,1170596,weak_user_02,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,329.15284121739893,
43,1767822014.8116255,1170596,weak_user_03,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,345.55772706679755,
44,1767822015.1571832,1170596,weak_user_04,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,331.7886575167296,
45,1767822015.4889717,1170596,weak_user_05,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,312.47540380669216,
46,1767822015.8014472,1170596,weak_user_06,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,320.2182711055259,
47,1767822016.1216655,1170596,weak_user_07,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,358.5649378488671,
48,1767822016.4802303,1170596,weak_user_08,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,303.77082799249615,
49,1767822016.784001,1170596,weak_user_09,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,390.34150074127353,
50,1767822017.1743426,1170596,weak_user_10,password_5,unknown,BCRYPT,False,True,False,False,False,401,False,362.7212584557888,
