attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767820000,1170596,weak_user_01,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,358.2138046773955,
2,1767820000.358214,1170596,weak_user_02,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,371.6874820927404,
3,1767820000.7299013,1170596,weak_user_03,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,345.3093358775408,
4,1767820001.0752106,1170596,weak_user_04,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,385.57286096221407,
5,1767820001.4607835,1170596,weak_user_05,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,370.6700000266826,
6,1767820001.8314536,1170596,weak_user_06,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,336.2159903787292,
7,1767820002.1676695,1170596,weak_user_07,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,347.1816180236008,
8,1767820002.514851,1170596,weak_user_08,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,367.98861244142006,
9,1767820002.8828397,1170596,weak_user_09,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,354.44641458588194,
10,1767820003.237286,1170596,weak_user_10,password_1,unknown,BCRYPT,False,False,False,False,False,401,False,327.10414081972107,
11,1767820003.5643902,1170596,weak_user_01,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,387.28447285190254,
12,1767820003.9516747,1170596,weak_user_02,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,326.2933959169987,
13,1767820004.2779682,1170596,weak_user_03,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,370.83397367866337,
14,1767820004.648802,1170596,weak_user_04,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,341.54043753912583,
15,1767820004.9903424,1170596,weak_user_05,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,389.1557344826708,
16,1767820005.379498,1170596,weak_user_06,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,316.77557608664904,
17,1767820005.6962736,1170596,weak_user_07,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,363.96677390497695,
18,1767820006.0602403,1170596,weak_user_08,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,366.9861851970981,
19,1767820006.4272265,1170596,weak_user_09,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,339.703346227908,
20,1767820006.7669299,1170596,weak_user_10,password_2,unknown,BCRYPT,False,False,False,False,False,401,False,358.05369945698544,
21,1767820007.1249835,1170596,weak_user_01,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,330.64137499003454,
22,1767820007.4556248,1170596,weak_user_02,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,366.7514382088923,
23,1767820007.8223763,1170596,weak_user_03,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,328.9886188656964,
24,1767820008.1513648,1170596,weak_user_04,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,319.79686946150554,
25,1767820008.4711616,1170596,weak_user_05,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,379.6299083560807,
26,1767820008.8507915,1170596,weak_user_06,password_3,unknown,BCRYPT,False,False,False,False,False,401,False,371.9793768941187,
