attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767821000,1170596,weak_user_01,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,387.59746439842957,
2,1767821000.3875976,1170596,weak_user_02,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,386.86636619550177,
3,1767821000.774464,1170596,weak_user_03,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,337.2832658894316,
4,1767821001.1117473,1170596,weak_user_04,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,360.0479030887099,
5,1767821001.471795,1170596,weak_user_05,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,388.1935327449021,
6,1767821001.8599887,1170596,weak_user_06,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,333.7568144692714,
7,1767821002.1937456,1170596,weak_user_07,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,325.87149669800766,
8,1767821002.519617,1170596,weak_user_08,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,348.37805953110535,
9,1767821002.867995,1170596,weak_user_09,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,396.67395874777486,
10,1767821003.264669,1170596,weak_user_10,password_1,unknown,BCRYPT,True,False,False,False,False,401,False,384.63326310161386,
11,1767821008.6493022,1170596,weak_user_01,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,398.6463358311797,
12,1767821009.0479486,1170596,weak_user_02,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,364.6852349288287,
13,1767821009.412634,1170596,weak_user_03,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,322.03609977235567,
14,1767821009.73467,1170596,weak_user_04,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,345.63530620310604,
15,1767821010.0803053,1170596,weak_user_05,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,390.3233423997822,
16,1767821010.4706287,1170596,weak_user_06,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,303.3967267566257,
17,1767821010.7740254,1170596,weak_user_07,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,398.1153315493233,
18,1767821011.1721408,1170596,weak_user_08,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,396.09771190079425,
19,1767821011.5682385,1170596,weak_user_09,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,321.2689312782206,
20,1767821011.8895075,1170596,weak_user_10,password_2,unknown,BCRYPT,True,False,False,False,False,401,False,351.81597808463505,
21,1767821017.2413235,1170596,weak_user_01,password_3,unknown,BCRYPT,True,False,False,False,False,401,False,353.09966349758184,
