attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767826000,1170596,weak_user_01,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,313.50377174283733,
2,1767826000.3135037,1170596,weak_user_02,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,350.5062410123458,
3,1767826000.66401,1170596,weak_user_03,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,348.3792871092643,
4,1767826001.0123894,1170596,weak_user_04,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,369.7844470787509,
5,1767826001.3821738,1170596,weak_user_05,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,328.6845009517494,
6,1767826001.7108583,1170596,weak_user_06,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,362.33791722706985,
7,1767826002.0731962,1170596,weak_user_07,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,345.0607005620252,
8,1767826002.4182568,1170596,weak_user_08,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,302.59847436663154,
9,1767826002.7208552,1170596,weak_user_09,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,316.5765212877181,
10,1767826003.0374317,1170596,weak_user_10,password_1,unknown,BCRYPT,True,True,False,False,False,401,False,322.14871041904985,
11,1767826008.3595805,1170596,weak_user_01,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,383.8960573205689,
12,1767826008.7434766,1170596,weak_user_02,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,353.42512142570286,
13,1767826009.0969017,1170596,weak_user_03,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,327.22477895478386,
14,1767826009.4241264,1170596,weak_user_04,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,321.57837857354195,
15,1767826009.7457047,1170596,weak_user_05,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,375.02853559558395,
16,1767826010.1207333,1170596,weak_user_06,password_2,unknown,BCRYPT,True,True,False,False,False,401,False,361.56696204346986,
