attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767825000,1170596,weak_user_01,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,355.84381856081427,Invalid TOTP
2,1767825000.3558438,1170596,weak_user_02,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,370.724052291628,Invalid TOTP
3,1767825000.7265677,1170596,weak_user_03,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,341.8549558625951,Invalid TOTP
4,1767825001.0684228,1170596,weak_user_04,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,330.44514747556866,Invalid TOTP
5,1767825001.3988678,1170596,weak_user_05,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,372.0013472106898,Invalid TOTP
6,1767825001.7708693,1170596,weak_user_06,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,333.78493492352084,Invalid TOTP
7,1767825002.104654,1170596,weak_user_07,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,370.31635315734854,Invalid TOTP
8,1767825002.4749703,1170596,weak_user_08,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,352.8513851545996,Invalid TOTP
9,1767825002.8278217,1170596,weak_user_09,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,387.1199209791465,Invalid TOTP
10,1767825003.2149417,1170596,weak_user_10,password_1,unknown,BCRYPT,False,False,False,False,True,401,False,324.5593761024577,Invalid TOTP
11,1767825003.5395012,1170596,weak_user_01,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,398.82105340060076,Invalid TOTP
12,1767825003.9383223,1170596,weak_user_02,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,367.7760173288016,Invalid TOTP
13,1767825004.3060982,1170596,weak_user_03,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,355.49598750427083,Invalid TOTP
14,1767825004.6615942,1170596,weak_user_04,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,332.6973450698332,Invalid TOTP
15,1767825004.9942915,1170596,weak_user_05,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,397.7060383384078,Invalid TOTP
16,1767825005.3919976,1170596,weak_user_06,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,396.2675823756648,Invalid TOTP
17,1767825005.7882652,1170596,weak_user_07,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,317.94478841830073,Invalid TOTP
18,1767825006.10621,1170596,weak_user_08,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,304.4569330084573,Invalid TOTP
19,1767825006.410667,1170596,weak_user_09,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,378.482706085034,Invalid TOTP
20,1767825006.7891498,1170596,weak_user_10,password_2,unknown,BCRYPT,False,False,False,False,True,401,False,373.0636373474017,Invalid TOTP
21,1767825007.1622133,1170596,weak_user_01,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,399.40140314491697,Invalid TOTP
22,1767825007.5616148,1170596,weak_user_02,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,387.27360116540615,Invalid TOTP
23,1767825007.9488883,1170596,weak_user_03,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,362.32441031794554,Invalid TOTP
24,1767825008.3112128,1170596,weak_user_04,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,397.22076325183076,Invalid TOTP
25,1767825008.7084336,1170596,weak_user_05,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,382.47057455009457,Invalid TOTP
26,1767825009.0909042,1170596,weak_user_06,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,391.0774727350748,Invalid TOTP
27,1767825009.4819818,1170596,weak_user_07,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,366.4554531909363,Invalid TOTP
28,1767825009.8484373,1170596,weak_user_08,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,316.92034118750666,Invalid TOTP
29,1767825010.1653576,1170596,weak_user_09,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,339.4036694931639,Invalid TOTP
30,1767825010.5047612,1170596,weak_user_10,password_3,unknown,BCRYPT,False,False,False,False,True,401,False,397.27819530743005,Invalid TOTP
31,1767825010.9020395,1170596,weak_user_01,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,391.24926686075844,Invalid TOTP
32,1767825011.2932887,1170596,weak_user_02,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,385.28894392082685,Invalid TOTP
33,1767825011.6785777,1170596,weak_user_03,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,309.872822009081,Invalid TOTP
34,1767825011.9884505,1170596,weak_user_04,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,399.81324351883825,Invalid TOTP
35,1767825012.3882637,1170596,weak_user_05,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,399.11640657919963,Invalid TOTP
36,1767825012.7873802,1170596,weak_user_06,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,394.4385802613954,Invalid TOTP
37,1767825013.1818187,1170596,weak_user_07,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,324.9359450123841,Invalid TOTP
38,1767825013.5067546,1170596,weak_user_08,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,317.0157645380657,Invalid TOTP
39,1767825013.8237703,1170596,weak_user_09,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,349.9676107056307,Invalid TOTP
40,1767825014.173738,1170596,weak_user_10,password_4,unknown,BCRYPT,False,False,False,False,True,401,False,332.8656213205461,Invalid TOTP
41,1767825014.5066037,1170596,weak_user_01,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,396.23003052880625,Invalid TOTP
42,1767825014.9028337,1170596,weak_user_02,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,336.9232639124468,Invalid TOTP
43,1767825015.239757,1170596,weak_user_03,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,307.6381982038198,Invalid TOTP
44,1767825015.5473952,1170596,weak_user_04,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,310.84938444384295,Invalid TOTP
45,1767825015.8582447,1170596,weak_user_05,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,367.1723459445128,Invalid TOTP
46,1767825016.225417,1170596,weak_user_06,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,305.8750571492823,Invalid TOTP
47,1767825016.531292,1170596,weak_user_07,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,320.9377140274548,Invalid TOTP
48,1767825016.8522296,1170596,weak_user_08,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,383.665755611624,Invalid TOTP
49,1767825017.2358954,1170596,weak_user_09,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,355.778328244622,Invalid TOTP
50,1767825017.5916736,1170596,weak_user_10,password_5,unknown,BCRYPT,False,False,False,False,True,401,False,384.6579201319872,Invalid TOTP
51,1767825017.9763315,1170596,weak_user_01,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,329.918573551236,Invalid TOTP
52,1767825018.30625,1170596,weak_user_02,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,350.0396082603561,Invalid TOTP
53,1767825018.6562898,1170596,weak_user_03,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,334.6149685367057,Invalid TOTP
54,1767825018.9909048,1170596,weak_user_04,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,368.2590266764909,Invalid TOTP
55,1767825019.3591638,1170596,weak_user_05,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,364.2805226873801,Invalid TOTP
56,1767825019.7234442,1170596,weak_user_06,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,355.43966878855355,Invalid TOTP
57,1767825020.078884,1170596,weak_user_07,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,304.82092573355544,Invalid TOTP
58,1767825020.383705,1170596,weak_user_08,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,340.419065741117,Invalid TOTP
59,1767825020.724124,1170596,weak_user_09,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,345.9474964806016,Invalid TOTP
60,1767825021.0700715,1170596,weak_user_10,password_6,unknown,BCRYPT,False,False,False,False,True,401,False,360.86337610153424,Invalid TOTP
61,1767825021.430935,1170596,weak_user_01,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,326.2192853818062,Invalid TOTP
62,1767825021.7571542,1170596,weak_user_02,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,380.1845813256431,Invalid TOTP
63,1767825022.1373389,1170596,weak_user_03,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,376.44625557833547,Invalid TOTP
64,1767825022.5137851,1170596,weak_user_04,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,388.55982406909504,Invalid TOTP
65,1767825022.902345,1170596,weak_user_05,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,350.47024063255515,Invalid TOTP
66,1767825023.2528152,1170596,weak_user_06,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,396.94554385245084,Invalid TOTP
67,1767825023.6497607,1170596,weak_user_07,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,359.2493915334435,Invalid TOTP
68,1767825024.00901,1170596,weak_user_08,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,398.1013810999952,Invalid TOTP
69,1767825024.4071114,1170596,weak_user_09,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,355.47758802470526,Invalid TOTP
70,1767825024.762589,1170596,weak_user_10,password_7,unknown,BCRYPT,False,False,False,False,True,401,False,349.16684355322843,Invalid TOTP
71,1767825025.1117558,1170596,weak_user_01,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,395.56487910273756,Invalid TOTP
72,1767825025.5073206,1170596,weak_user_02,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,315.6954019629725,Invalid TOTP
73,1767825025.823016,1170596,weak_user_03,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,320.97082073367795,Invalid TOTP
74,1767825026.1439867,1170596,weak_user_04,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,320.50320331145394,Invalid TOTP
75,1767825026.46449,1170596,weak_user_05,password_8,unknown,BCRYPT,False,False,False,False,True,401,False,314.282657218467,Invalid TOTP
