attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767792000,1170596,weak_user_01,password_1,unknown,SHA256,False,True,False,False,False,401,False,141.2348192260414,
2,1767792000.1412349,1170596,weak_user_02,password_1,unknown,SHA256,False,True,False,False,False,401,False,107.05465228166739,
3,1767792000.2482896,1170596,weak_user_03,password_1,unknown,SHA256,False,True,False,False,False,401,False,166.61529084522317,
4,1767792000.4149048,1170596,weak_user_04,password_1,unknown,SHA256,False,True,False,False,False,401,False,140.35121568859591,
5,1767792000.5552561,1170596,weak_user_05,password_1,unknown,SHA256,False,True,False,False,False,401,False,159.96172509715404,
6,1767792000.7152178,1170596,weak_user_06,password_1,unknown,SHA256,False,True,False,False,False,401,False,114.78621814632936,
7,1767792000.830004,1170596,weak_user_07,password_1,unknown,SHA256,False,True,False,False,False,401,False,151.3114354395462,
8,1767792000.9813154,1170596,weak_user_08,password_1,unknown,SHA256,False,True,False,False,False,401,False,143.28794962897058,
9,1767792001.1246033,1170596,weak_user_09,password_1,unknown,SHA256,False,True,False,False,False,401,False,100.06399156853867,
10,1767792001.2246673,1170596,weak_user_10,password_1,unknown,SHA256,False,True,False,False,False,401,False,118.51918531556595,
11,1767792001.3431864,1170596,weak_user_01,password_2,unknown,SHA256,False,True,False,False,False,401,False,168.02666481259507,
12,1767792001.511213,1170596,weak_user_02,password_2,unknown,SHA256,False,True,False,False,False,401,False,179.1929978397468,
13,1767792001.690406,1170596,weak_user_03,password_2,unknown,SHA256,False,True,False,False,False,401,False,122.04513557873915,
14,1767792001.8124511,1170596,weak_user_04,password_2,unknown,SHA256,False,True,False,False,False,401,False,123.88811871652642,
15,1767792001.9363391,1170596,weak_user_05,password_2,unknown,SHA256,False,True,False,False,False,401,False,142.4448128067203,
16,1767792002.078784,1170596,weak_user_06,password_2,unknown,SHA256,False,True,False,False,False,401,False,128.84957047656923,
17,1767792002.2076335,1170596,weak_user_07,password_2,unknown,SHA256,False,True,False,False,False,401,False,127.15808008157684,
18,1767792002.3347917,1170596,weak_user_08,password_2,unknown,SHA256,False,True,False,False,False,401,False,191.40320403223055,
19,1767792002.5261948,1170596,weak_user_09,password_2,unknown,SHA256,False,True,False,False,False,401,False,187.19322947701835,
20,1767792002.713388,1170596,weak_user_10,password_2,unknown,SHA256,False,True,False,False,False,401,False,171.65307206097145,
21,1767792002.885041,1170596,weak_user_01,password_3,unknown,SHA256,False,True,False,False,False,401,False,141.58229503393275,
22,1767792003.0266232,1170596,weak_user_02,password_3,unknown,SHA256,False,True,False,False,False,401,False,170.83540653042593,
23,1767792003.1974587,1170596,weak_user_03,password_3,unknown,SHA256,False,True,False,False,False,401,False,146.33844611040945,
24,1767792003.3437972,1170596,weak_user_04,password_3,unknown,SHA256,False,True,False,False,False,401,False,192.6434109290884,
25,1767792003.5364406,1170596,weak_user_05,password_3,unknown,SHA256,False,True,False,False,False,401,False,147.33989601541182,
26,1767792003.6837804,1170596,weak_user_06,password_3,unknown,SHA256,False,True,False,False,False,401,False,181.5965535594731,
27,1767792003.865377,1170596,weak_user_07,password_3,unknown,SHA256,False,True,False,False,False,401,False,150.168027277757,
28,1767792004.015545,1170596,weak_user_08,password_3,unknown,SHA256,False,True,False,False,False,401,False,156.78260446913785,
29,1767792004.1723275,1170596,weak_user_09,password_3,unknown,SHA256,False,True,False,False,False,401,False,169.27358146641026,
30,1767792004.3416011,1170596,weak_user_10,password_3,unknown,SHA256,False,True,False,False,False,401,False,188.8996455126825,
31,1767792004.530501,1170596,weak_user_01,password_4,unknown,SHA256,False,True,False,False,False,401,False,153.4508942355528,
32,1767792004.6839519,1170596,weak_user_02,password_4,unknown,SHA256,False,True,False,False,False,401,False,186.40583406753504,
33,1767792004.8703578,1170596,weak_user_03,password_4,unknown,SHA256,False,True,False,False,False,401,False,176.38553761899522,
34,1767792005.0467434,1170596,weak_user_04,password_4,unknown,SHA256,False,True,False,False,False,401,False,122.97549850510772,
35,1767792005.169719,1170596,weak_user_05,password_4,unknown,SHA256,False,True,False,False,False,401,False,165.22683764716226,
36,1767792005.334946,1170596,weak_user_06,password_4,unknown,SHA256,False,True,False,False,False,401,False,192.38191778827752,
37,1767792005.5273278,1170596,weak_user_07,password_4,unknown,SHA256,False,True,False,False,False,401,False,143.33086070521793,
38,1767792005.6706586,1170596,weak_user_08,password_4,unknown,SHA256,False,True,False,False,False,401,False,149.82735308848711,
39,1767792005.8204858,1170596,weak_user_09,password_4,unknown,SHA256,False,True,False,False,False,401,False,132.94707831887317,
40,1767792005.9534328,1170596,weak_user_10,password_4,unknown,SHA256,False,True,False,False,False,401,False,168.06093460867024,
41,1767792006.1214938,1170596,weak_user_01,password_5,unknown,SHA256,False,True,False,False,False,401,False,137.00250329816748,
42,1767792006.2584963,1170596,weak_user_02,password_5,unknown,SHA256,False,True,False,False,False,401,False,196.46038402243693,
43,1767792006.4549568,1170596,weak_user_03,password_5,unknown,SHA256,False,True,False,False,False,401,False,105.3514204289543,
44,1767792006.5603082,1170596,weak_user_04,password_5,unknown,SHA256,False,True,False,False,False,401,False,198.86149857674582,
45,1767792006.7591698,1170596,weak_user_05,password_5,unknown,SHA256,False,True,False,False,False,401,False,188.2169227469442,
46,1767792006.9473867,1170596,weak_user_06,password_5,unknown,SHA256,False,True,False,False,False,401,False,178.6513736851506,
47,1767792007.126038,1170596,weak_user_07,password_5,unknown,SHA256,False,True,False,False,False,401,False,109.79373105673089,
48,1767792007.2358317,1170596,weak_user_08,password_5,unknown,SHA256,False,True,False,False,False,401,False,148.47480966602242,
49,1767792007.3843064,1170596,weak_user_09,password_5,unknown,SHA256,False,True,False,False,False,401,False,116.90977673317406,
50,1767792007.5012162,1170596,weak_user_10,password_5,unknown,SHA256,False,True,False,False,False,401,False,198.56819193116905,
