attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767790000,1170596,weak_user_01,password_1,unknown,SHA256,False,False,False,False,False,401,False,130.38174830917387,
2,1767790000.1303818,1170596,weak_user_02,password_1,unknown,SHA256,False,False,False,False,False,401,False,146.01969537581328,
3,1767790000.2764015,1170596,weak_user_03,password_1,unknown,SHA256,False,False,False,False,False,401,False,173.90490135711948,
4,1767790000.4503064,1170596,weak_user_04,password_1,unknown,SHA256,False,False,False,False,False,401,False,107.74956501326847,
5,1767790000.5580559,1170596,weak_user_05,password_1,unknown,SHA256,False,False,False,False,False,401,False,112.50155872755502,
6,1767790000.6705575,1170596,weak_user_06,password_1,unknown,SHA256,False,False,False,False,False,401,False,193.28187715174604,
7,1767790000.8638394,1170596,weak_user_07,password_1,unknown,SHA256,False,False,False,False,False,401,False,104.06017685644582,
8,1767790000.9678996,1170596,weak_user_08,password_1,unknown,SHA256,False,False,False,False,False,401,False,124.56579369288214,
9,1767790001.0924654,1170596,weak_user_09,password_1,unknown,SHA256,False,False,False,False,False,401,False,136.69072146842856,
10,1767790001.229156,1170596,weak_user_10,password_1,unknown,SHA256,False,False,False,False,False,401,False,150.66740555043205,
11,1767790001.3798234,1170596,weak_user_01,password_2,unknown,SHA256,False,False,False,False,False,401,False,199.2079731297764,
12,1767790001.5790315,1170596,weak_user_02,password_2,unknown,SHA256,False,False,False,False,False,401,False,102.25389180727117,
13,1767790001.6812854,1170596,weak_user_03,password_2,unknown,SHA256,False,False,False,False,False,401,False,105.54127498053865,
14,1767790001.7868266,1170596,weak_user_04,password_2,unknown,SHA256,False,False,False,False,False,401,False,190.14407116161607,
15,1767790001.9769707,1170596,weak_user_05,password_2,unknown,SHA256,False,False,False,False,False,401,False,121.48690235352669,
16,1767790002.0984576,1170596,weak_user_06,password_2,unknown,SHA256,False,False,False,False,False,401,False,112.76850309260035,
17,1767790002.211226,1170596,weak_user_07,password_2,unknown,SHA256,False,False,False,False,False,401,False,101.80210450418993,
18,1767790002.313028,1170596,weak_user_08,password_2,unknown,SHA256,False,False,False,False,False,401,False,111.34532322651032,
19,1767790002.4243734,1170596,weak_user_09,password_2,unknown,SHA256,False,False,False,False,False,401,False,105.3545264701047,
20,1767790002.529728,1170596,weak_user_10,password_2,unknown,SHA256,False,False,False,False,False,401,False,150.4192876690369,
21,1767790002.6801472,1170596,weak_user_01,password_3,unknown,SHA256,False,False,False,False,False,401,False,187.63138110016973,
22,1767790002.8677785,1170596,weak_user_02,password_3,unknown,SHA256,False,False,False,False,False,401,False,110.58738134865895,
23,1767790002.978366,1170596,weak_user_03,password_3,unknown,SHA256,False,False,False,False,False,401,False,121.82341789536576,
24,1767790003.1001892,1170596,weak_user_04,password_3,unknown,SHA256,False,False,False,False,False,401,False,102.52425869170398,
25,1767790003.2027135,1170596,weak_user_05,password_3,unknown,SHA256,False,False,False,False,False,401,False,134.16271099243536,
26,1767790003.3368762,1170596,weak_user_06,password_3,unknown,SHA256,False,False,False,False,False,401,False,127.027637828445,
27,1767790003.463904,1170596,weak_user_07,password_3,unknown,SHA256,False,False,False,False,False,401,False,183.96733874473824,
28,1767790003.6478713,1170596,weak_user_08,password_3,unknown,SHA256,False,False,False,False,False,401,False,190.39658724065566,
29,1767790003.8382678,1170596,weak_user_09,password_3,unknown,SHA256,False,False,False,False,False,401,False,130.6937946323061,
30,1767790003.9689617,1170596,weak_user_10,password_3,unknown,SHA256,False,False,False,False,False,401,False,169.67103071696698,
31,1767790004.1386328,1170596,weak_user_01,password_4,unknown,SHA256,False,False,False,False,False,401,False,197.09049342183565,
32,1767790004.3357232,1170596,weak_user_02,password_4,unknown,SHA256,False,False,False,False,False,401,False,171.39045304795383,
33,1767790004.5071137,1170596,weak_user_03,password_4,unknown,SHA256,False,False,False,False,False,401,False,164.17396159218498,
34,1767790004.6712878,1170596,weak_user_04,password_4,unknown,SHA256,False,False,False,False,False,401,False,153.3741805488076,
35,1767790004.824662,1170596,weak_user_05,password_4,unknown,SHA256,False,False,False,False,False,401,False,111.1771090718839,
36,1767790004.9358392,1170596,weak_user_06,password_4,unknown,SHA256,False,False,False,False,False,401,False,175.6339663233535,
37,1767790005.111473,1170596,weak_user_07,password_4,unknown,SHA256,False,False,False,False,False,401,False,123.44487110890229,
38,1767790005.2349179,1170596,weak_user_08,password_4,unknown,SHA256,False,False,False,False,False,401,False,122.92607895301055,
39,1767790005.3578439,1170596,weak_user_09,password_4,unknown,SHA256,False,False,False,False,False,401,False,180.89415080161274,
40,1767790005.538738,1170596,weak_user_10,password_4,unknown,SHA256,False,False,False,False,False,401,False,161.77757161091793,
41,1767790005.7005155,1170596,weak_user_01,password_5,unknown,SHA256,False,False,False,False,False,401,False,197.58713995691755,
42,1767790005.8981028,1170596,weak_user_02,password_5,unknown,SHA256,False,False,False,False,False,401,False,109.20278316459962,
43,1767790006.0073056,1170596,weak_user_03,password_5,unknown,SHA256,False,False,False,False,False,401,False,101.36831923797678,
44,1767790006.108674,1170596,weak_user_04,password_5,unknown,SHA256,False,False,False,False,False,401,False,163.7309160487111,
