attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767794000,1170596,weak_user_01,password_1,unknown,SHA256,False,False,False,True,False,401,False,129.67981593163472,
2,1767794000.12968,1170596,weak_user_02,password_1,unknown,SHA256,False,False,False,True,False,401,False,157.8384455654888,
3,1767794000.2875183,1170596,weak_user_03,password_1,unknown,SHA256,False,False,False,True,False,401,False,105.68110984768259,
4,1767794000.3931994,1170596,weak_user_04,password_1,unknown,SHA256,False,False,False,True,False,401,False,128.58325293325905,
5,1767794000.5217826,1170596,weak_user_05,password_1,unknown,SHA256,False,False,False,True,False,401,False,138.5254684391694,
6,1767794000.6603081,1170596,weak_user_06,password_1,unknown,SHA256,False,False,False,True,False,401,False,196.4434205238976,
7,1767794000.8567514,1170596,weak_user_07,password_1,unknown,SHA256,False,False,False,True,False,401,False,187.5612799204826,
8,1767794001.0443127,1170596,weak_user_08,password_1,unknown,SHA256,False,False,False,True,False,401,False,102.05550296305807,
9,1767794001.1463683,1170596,weak_user_09,password_1,unknown,SHA256,False,False,False,True,False,401,False,114.03423740000662,
10,1767794001.2604024,1170596,weak_user_10,password_1,unknown,SHA256,False,False,False,True,False,401,False,183.40310608946368,
11,1767794001.4438055,1170596,weak_user_01,password_2,unknown,SHA256,False,False,False,True,False,401,False,105.78270867912107,
12,1767794001.5495882,1170596,weak_user_02,password_2,unknown,SHA256,False,False,False,True,False,401,False,181.65790829415488,
13,1767794001.731246,1170596,weak_user_03,password_2,unknown,SHA256,False,False,False,True,False,401,False,135.35652863582078,
14,1767794001.8666024,1170596,weak_user_04,password_2,unknown,SHA256,False,False,False,True,False,401,False,134.91547837773578,
15,1767794002.001518,1170596,weak_user_05,password_2,unknown,SHA256,False,False,False,True,False,401,False,122.79260268902851,
16,1767794002.1243107,1170596,weak_user_06,password_2,unknown,SHA256,False,False,False,True,False,401,False,115.76506683636599,
17,1767794002.2400758,1170596,weak_user_07,password_2,unknown,SHA256,False,False,False,True,False,401,False,100.88082401346753,
18,1767794002.3409567,1170596,weak_user_08,password_2,unknown,SHA256,False,False,False,True,False,401,False,165.99372793642584,
19,1767794002.5069504,1170596,weak_user_09,password_2,unknown,SHA256,False,False,False,True,False,401,False,174.4659099891681,
20,1767794002.6814163,1170596,weak_user_10,password_2,unknown,SHA256,False,False,False,True,False,401,False,116.09700487401877,
21,1767794002.7975132,1170596,weak_user_01,password_3,unknown,SHA256,False,False,False,True,False,401,False,193.98026684024677,
22,1767794002.9914935,1170596,weak_user_02,password_3,unknown,SHA256,False,False,False,True,False,401,False,113.23203972262453,
23,1767794003.1047256,1170596,weak_user_03,password_3,unknown,SHA256,False,False,False,True,False,401,False,145.29865969362663,
24,1767794003.2500243,1170596,weak_user_04,password_3,unknown,SHA256,False,False,False,True,False,401,False,161.26757966360137,
25,1767794003.4112918,1170596,weak_user_05,password_3,unknown,SHA256,False,False,False,True,False,401,False,198.62823582081924,
26,1767794003.60992,1170596,weak_user_06,password_3,unknown,SHA256,False,False,False,True,False,401,False,183.22522419034948,
27,1767794003.7931452,1170596,weak_user_07,password_3,unknown,SHA256,False,False,False,True,False,401,False,126.01563758014905,
28,1767794003.9191608,1170596,weak_user_08,password_3,unknown,SHA256,False,False,False,True,False,401,False,168.448317658837,
29,1767794004.087609,1170596,weak_user_09,password_3,unknown,SHA256,False,False,False,True,False,401,False,126.98466995754558,
30,1767794004.2145936,1170596,weak_user_10,password_3,unknown,SHA256,False,False,False,True,False,401,False,122.80194490104105,
31,1767794004.3373957,1170596,weak_user_01,password_4,unknown,SHA256,False,False,False,True,False,401,False,173.1730920288071,
32,1767794004.5105689,1170596,weak_user_02,password_4,unknown,SHA256,False,False,False,True,False,401,False,151.18734697329495,
33,1767794004.6617563,1170596,weak_user_03,password_4,unknown,SHA256,False,False,False,True,False,401,False,190.8212528950238,
34,1767794004.8525774,1170596,weak_user_04,password_4,unknown,SHA256,False,False,False,True,False,401,False,160.94290808338835,
35,1767794005.0135202,1170596,weak_user_05,password_4,unknown,SHA256,False,False,False,True,False,401,False,174.8684512994279,
36,1767794005.1883886,1170596,weak_user_06,password_4,unknown,SHA256,False,False,False,True,False,401,False,184.18990982501907,
37,1767794005.3725784,1170596,weak_user_07,password_4,unknown,SHA256,False,False,False,True,False,401,False,124.45103185003697,
38,1767794005.4970293,1170596,weak_user_08,password_4,unknown,SHA256,False,False,False,True,False,401,False,160.4050818196823,
39,1767794005.6574345,1170596,weak_user_09,password_4,unknown,SHA256,False,False,False,True,False,401,False,134.22764796193695,
40,1767794005.7916622,1170596,weak_user_10,password_4,unknown,SHA256,False,False,False,True,False,401,False,146.70152233567575,
41,1767794005.9383638,1170596,weak_user_01,password_5,unknown,SHA256,False,False,False,True,False,401,False,116.78434208522961,
42,1767794006.0551481,1170596,weak_user_02,password_5,unknown,SHA256,False,False,False,True,False,401,False,143.83504202523042,
43,1767794006.1989832,1170596,weak_user_03,password_5,unknown,SHA256,False,False,False,True,False,401,False,199.1111010212086,
44,1767794006.3980942,1170596,weak_user_04,password_5,unknown,SHA256,False,False,False,True,False,401,False,150.10710475811203,
45,1767794006.5482013,1170596,weak_user_05,password_5,unknown,SHA256,False,False,False,True,False,401,False,167.47292632156586,
46,1767794006.7156742,1170596,weak_user_06,password_5,unknown,SHA256,False,False,False,True,False,401,False,188.92027195965244,
47,1767794006.9045944,1170596,weak_user_07,password_5,unknown,SHA256,False,False,False,True,False,401,False,105.23836099019515,
48,1767794007.0098329,1170596,weak_user_08,password_5,unknown,SHA256,False,False,False,True,False,401,False,176.0980572518697,
49,1767794007.185931,1170596,weak_user_09,password_5,unknown,SHA256,False,False,False,True,False,401,False,161.6118381190042,
50,1767794007.3475428,1170596,weak_user_10,password_5,unknown,SHA256,False,False,False,True,False,401,False,109.70205774998719,
51,1767794007.4572449,1170596,weak_user_01,password_6,unknown,SHA256,False,False,False,True,False,401,False,144.00020519387806,
52,1767794007.6012452,1170596,weak_user_02,password_6,unknown,SHA256,False,False,False,True,False,401,False,161.27599981162186,
53,1767794007.7625213,1170596,weak_user_03,password_6,unknown,SHA256,False,False,False,True,False,401,False,150.7981469803796,
54,1767794007.9133193,1170596,weak_user_04,password_6,unknown,SHA256,False,False,False,True,False,401,False,176.09039736711372,
55,1767794008.0894098,1170596,weak_user_05,password_6,unknown,SHA256,False,False,False,True,False,401,False,175.30795172110467,
56,1767794008.2647178,1170596,weak_user_06,password_6,unknown,SHA256,False,False,False,True,False,401,False,144.61987579652555,
57,1767794008.4093378,1170596,weak_user_07,password_6,unknown,SHA256,False,False,False,True,False,401,False,189.34130922316479,
58,1767794008.598679,1170596,weak_user_08,password_6,unknown,SHA256,False,False,False,True,False,401,False,150.19831210357026,
59,1767794008.7488773,1170596,weak_user_09,password_6,unknown,SHA256,False,False,False,True,False,401,False,157.17420556854285,
60,1767794008.9060514,1170596,weak_user_10,password_6,unknown,SHA256,False,False,False,True,False,401,False,159.09324955552205,
61,1767794009.0651445,1170596,weak_user_01,password_7,unknown,SHA256,False,False,False,True,False,401,False,184.9198173664022,
62,1767794009.2500644,1170596,weak_user_02,password_7,unknown,SHA256,False,False,False,True,False,401,False,126.72414430459483,
63,1767794009.3767886,1170596,weak_user_03,password_7,unknown,SHA256,False,False,False,True,False,401,False,102.59484840004166,
64,1767794009.4793835,1170596,weak_user_04,password_7,unknown,SHA256,False,False,False,True,False,401,False,108.92625748974157,
65,1767794009.5883098,1170596,weak_user_05,password_7,unknown,SHA256,False,False,False,True,False,401,False,186.4873454903996,
66,1767794009.7747972,1170596,weak_user_06,password_7,unknown,SHA256,False,False,False,True,False,401,False,183.57978094750382,
67,1767794009.958377,1170596,weak_user_07,password_7,unknown,SHA256,False,False,False,True,False,401,False,113.67055051128874,
68,1767794010.0720475,1170596,weak_user_08,password_7,unknown,SHA256,False,False,False,True,False,401,False,151.11634726776288,
69,1767794010.2231638,1170596,weak_user_09,password_7,unknown,SHA256,False,False,False,True,False,401,False,119.36722665310126,
70,1767794010.342531,1170596,weak_user_10,password_7,unknown,SHA256,False,False,False,True,False,401,False,183.68050696591143,
