attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767791000,1170596,weak_user_01,password_1,unknown,SHA256,True,False,False,False,False,401,False,149.32551521271648,
2,1767791000.1493256,1170596,weak_user_02,password_1,unknown,SHA256,True,False,False,False,False,401,False,192.16281612234255,
3,1767791000.3414884,1170596,weak_user_03,password_1,unknown,SHA256,True,False,False,False,False,401,False,133.41428917380358,
4,1767791000.4749026,1170596,weak_user_04,password_1,unknown,SHA256,True,False,False,False,False,401,False,105.50621547426846,
5,1767791000.5804088,1170596,weak_user_05,password_1,unknown,SHA256,True,False,False,False,False,401,False,105.43654168941022,
6,1767791000.6858454,1170596,weak_user_06,password_1,unknown,SHA256,True,False,False,False,False,401,False,156.26593575962286,
7,1767791000.8421113,1170596,weak_user_07,password_1,unknown,SHA256,True,False,False,False,False,401,False,136.02286942561454,
8,1767791000.9781342,1170596,weak_user_08,password_1,unknown,SHA256,True,False,False,False,False,401,False,163.04494599405206,
9,1767791001.141179,1170596,weak_user_09,password_1,unknown,SHA256,True,False,False,False,False,401,False,130.95945750648502,
10,1767791001.2721386,1170596,weak_user_10,password_1,unknown,SHA256,True,False,False,False,False,401,False,124.97666020077962,
11,1767791006.3971152,1170596,weak_user_01,password_2,unknown,SHA256,True,False,False,False,False,401,False,112.13029353994756,
12,1767791006.5092456,1170596,weak_user_02,password_2,unknown,SHA256,True,False,False,False,False,401,False,153.62001009579438,
13,1767791006.6628656,1170596,weak_user_03,password_2,unknown,SHA256,True,False,False,False,False,401,False,107.88076081728227,
14,1767791006.7707465,1170596,weak_user_04,password_2,unknown,SHA256,True,False,False,False,False,401,False,181.89834617250318,
15,1767791006.9526448,1170596,weak_user_05,password_2,unknown,SHA256,True,False,False,False,False,401,False,130.06658167688968,
16,1767791007.0827115,1170596,weak_user_06,password_2,unknown,SHA256,True,False,False,False,False,401,False,183.72244948474727,
17,1767791007.266434,1170596,weak_user_07,password_2,unknown,SHA256,True,False,False,False,False,401,False,113.02845421893343,
18,1767791007.3794625,1170596,weak_user_08,password_2,unknown,SHA256,True,False,False,False,False,401,False,151.26881450344104,
19,1767791007.5307312,1170596,weak_user_09,password_2,unknown,SHA256,True,False,False,False,False,401,False,172.18771674051,
20,1767791007.702919,1170596,weak_user_10,password_2,unknown,SHA256,True,False,False,False,False,401,False,192.94607932797345,
21,1767791012.8958652,1170596,weak_user_01,password_3,unknown,SHA256,True,False,False,False,False,401,False,192.51637900646904,
22,1767791013.0883815,1170596,weak_user_02,password_3,unknown,SHA256,True,False,False,False,False,401,False,189.86611989384912,
23,1767791013.2782476,1170596,weak_user_03,password_3,unknown,SHA256,True,False,False,False,False,401,False,127.94768106128393,
24,1767791013.4061952,1170596,weak_user_04,password_3,unknown,SHA256,True,False,False,False,False,401,False,142.6329047229755,
25,1767791013.5488281,1170596,weak_user_05,password_3,unknown,SHA256,True,False,False,False,False,401,False,166.52757826741149,
26,1767791013.7153556,1170596,weak_user_06,password_3,unknown,SHA256,True,False,False,False,False,401,False,147.21441934170497,
27,1767791013.86257,1170596,weak_user_07,password_3,unknown,SHA256,True,False,False,False,False,401,False,187.10512285421072,
28,1767791014.0496752,1170596,weak_user_08,password_3,unknown,SHA256,True,False,False,False,False,401,False,182.2636894997072,
29,1767791014.2319388,1170596,weak_user_09,password_3,unknown,SHA256,True,False,False,False,False,401,False,188.55586889004405,
30,1767791014.4204948,1170596,weak_user_10,password_3,unknown,SHA256,True,False,False,False,False,401,False,170.01456378025154,
31,1767791019.5905094,1170596,weak_user_01,password_4,unknown,SHA256,True,False,False,False,False,401,False,190.280128541539,
32,1767791019.7807896,1170596,weak_user_02,password_4,unknown,SHA256,True,False,False,False,False,401,False,162.8764446898409,
33,1767791019.943666,1170596,weak_user_03,password_4,unknown,SHA256,True,False,False,False,False,401,False,173.54638633564304,
34,1767791020.1172123,1170596,weak_user_04,password_4,unknown,SHA256,True,False,False,False,False,401,False,177.43708215737007,
35,1767791020.2946494,1170596,weak_user_05,password_4,unknown,SHA256,True,False,False,False,False,401,False,159.2160953055925,
36,1767791020.4538655,1170596,weak_user_06,password_4,unknown,SHA256,True,False,False,False,False,401,False,144.79509673680454,
37,1767791020.5986607,1170596,weak_user_07,password_4,unknown,SHA256,True,False,False,False,False,401,False,192.07937430097252,
38,1767791020.79074,1170596,weak_user_08,password_4,unknown,SHA256,True,False,False,False,False,401,False,112.56161587244202,
39,1767791020.9033017,1170596,weak_user_09,password_4,unknown,SHA256,True,False,False,False,False,401,False,121.71725292284766,
40,1767791021.025019,1170596,weak_user_10,password_4,unknown,SHA256,True,False,False,False,False,401,False,199.90352413624015,
41,1767791026.2249224,1170596,weak_user_01,password_5,unknown,SHA256,True,False,False,False,False,401,False,181.7239956502383,
42,1767791026.4066465,1170596,weak_user_02,password_5,unknown,SHA256,True,False,False,False,False,401,False,148.5192987975227,
43,1767791026.5551658,1170596,weak_user_03,password_5,unknown,SHA256,True,False,False,False,False,401,False,100.03600611852062,
44,1767791026.6552017,1170596,weak_user_04,password_5,unknown,SHA256,True,False,False,False,False,401,False,137.51640950335826,
45,1767791026.7927182,1170596,weak_user_05,password_5,unknown,SHA256,True,False,False,False,False,401,False,121.94470773655524,
46,1767791026.9146628,1170596,weak_user_06,password_5,unknown,SHA256,True,False,False,False,False,401,False,145.78558475917163,
47,1767791027.0604484,1170596,weak_user_07,password_5,unknown,SHA256,True,False,False,False,False,401,False,175.35857236805768,
48,1767791027.235807,1170596,weak_user_08,password_5,unknown,SHA256,True,False,False,False,False,401,False,182.28481839528374,
49,1767791027.4180918,1170596,weak_user_09,password_5,unknown,SHA256,True,False,False,False,False,401,False,118.2962137148113,
50,1767791027.536388,1170596,weak_user_10,password_5,unknown,SHA256,True,False,False,False,False,401,False,157.37795743292358,
51,1767791032.6937659,1170596,weak_user_01,password_6,unknown,SHA256,True,False,False,False,False,401,False,198.70183257474008,
52,1767791032.8924677,1170596,weak_user_02,password_6,unknown,SHA256,True,False,False,False,False,401,False,196.6636477191973,
53,1767791033.0891314,1170596,weak_user_03,password_6,unknown,SHA256,True,False,False,False,False,401,False,148.6695943598325,
54,1767791033.2378008,1170596,weak_user_04,password_6,unknown,SHA256,True,False,False,False,False,401,False,119.34696620118078,
