attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1767796000,1170596,weak_user_01,password_1,unknown,SHA256,True,True,False,False,False,401,False,104.15143709417444,
2,1767796000.1041515,1170596,weak_user_02,password_1,unknown,SHA256,True,True,False,False,False,401,False,189.4242110129564,
3,1767796000.2935758,1170596,weak_user_03,password_1,unknown,SHA256,True,True,False,False,False,401,False,159.1581954315635,
4,1767796000.452734,1170596,weak_user_04,password_1,unknown,SHA256,True,True,False,False,False,401,False,144.21740825759338,
5,1767796000.5969515,1170596,weak_user_05,password_1,unknown,SHA256,True,True,False,False,False,401,False,161.42436972071144,
6,1767796000.758376,1170596,weak_user_06,password_1,unknown,SHA256,True,True,False,False,False,401,False,113.69958265762207,
7,1767796000.8720756,1170596,weak_user_07,password_1,unknown,SHA256,True,True,False,False,False,401,False,132.6959521830087,
8,1767796001.0047715,1170596,weak_user_08,password_1,unknown,SHA256,True,True,False,False,False,401,False,106.87846755348976,
9,1767796001.11165,1170596,weak_user_09,password_1,unknown,SHA256,True,True,False,False,False,401,False,146.50195869043478,
10,1767796001.258152,1170596,weak_user_10,password_1,unknown,SHA256,True,True,False,False,False,401,False,106.87197475915784,
11,1767796006.365024,1170596,weak_user_01,password_2,unknown,SHA256,True,True,False,False,False,401,False,151.4372746417622,
12,1767796006.5164614,1170596,weak_user_02,password_2,unknown,SHA256,True,True,False,False,False,401,False,105.84808543303247,
13,1767796006.6223094,1170596,weak_user_03,password_2,unknown,SHA256,True,True,False,False,False,401,False,130.72458988780264,
14,1767796006.753034,1170596,weak_user_04,password_2,unknown,SHA256,True,True,False,False,False,401,False,109.44788855029095,
15,1767796006.862482,1170596,weak_user_05,password_2,unknown,SHA256,True,True,False,False,False,401,False,159.13739773870816,
16,1767796007.0216196,1170596,weak_user_06,password_2,unknown,SHA256,True,True,False,False,False,401,False,175.78367923543883,
17,1767796007.1974032,1170596,weak_user_07,password_2,unknown,SHA256,True,True,False,False,False,401,False,129.84616315713188,
18,1767796007.3272493,1170596,weak_user_08,password_2,unknown,SHA256,True,True,False,False,False,401,False,125.97682484044702,
19,1767796007.453226,1170596,weak_user_09,password_2,unknown,SHA256,True,True,False,False,False,401,False,186.58761067743555,
20,1767796007.6398137,1170596,weak_user_10,password_2,unknown,SHA256,True,True,False,False,False,401,False,101.37475642221571,
21,1767796012.7411885,1170596,weak_user_01,password_3,unknown,SHA256,True,True,False,False,False,401,False,156.24332199026023,
22,1767796012.8974319,1170596,weak_user_02,password_3,unknown,SHA256,True,True,False,False,False,401,False,179.06277761684504,
23,1767796013.0764947,1170596,weak_user_03,password_3,unknown,SHA256,True,True,False,False,False,401,False,172.266993755028,
24,1767796013.2487617,1170596,weak_user_04,password_3,unknown,SHA256,True,True,False,False,False,401,False,117.44669036282323,
