attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1766602188.320349,1170596,medium_user_01,123456789,unknown,ARGON2ID,False,False,False,False,False,401,False,165.86,
2,1766602188.449488,1170596,medium_user_01,12345678,unknown,ARGON2ID,False,False,False,False,False,401,False,129.13,
3,1766602188.6578891,1170596,medium_user_01,12345,unknown,ARGON2ID,False,False,False,False,False,401,False,208.4,
4,1766602188.790285,1170596,medium_user_01,123123,unknown,ARGON2ID,False,False,False,False,False,401,False,132.39,
5,1766602188.925101,1170596,medium_user_01,1234567,unknown,ARGON2ID,False,False,False,False,False,401,False,134.81,
6,1766602189.057012,1170596,medium_user_01,master,unknown,ARGON2ID,False,False,False,False,False,401,False,131.91,
7,1766602189.187754,1170596,medium_user_01,sunshine,unknown,ARGON2ID,False,False,False,False,False,401,False,130.74,
8,1766602189.316424,1170596,medium_user_01,princess,unknown,ARGON2ID,False,False,False,False,False,401,False,128.66,
9,1766602189.450956,1170596,medium_user_01,654321,unknown,ARGON2ID,False,False,False,False,False,401,False,134.53,
10,1766602189.58223,1170596,medium_user_01,password1,unknown,ARGON2ID,False,False,False,False,False,401,False,131.27,
11,1766602189.732157,1170596,medium_user_01,qazwsx,unknown,ARGON2ID,False,False,False,False,False,401,False,149.92,
12,1766602189.864764,1170596,medium_user_01,trust,unknown,ARGON2ID,False,False,False,False,False,401,False,132.6,
13,1766602189.99857,1170596,medium_user_01,000000,unknown,ARGON2ID,False,False,False,False,False,401,False,133.8,
14,1766602190.127381,1170596,medium_user_01,starwars,unknown,ARGON2ID,False,False,False,False,False,401,False,128.81,
15,1766602190.260258,1170596,medium_user_01,zxcvbn,unknown,ARGON2ID,False,False,False,False,False,401,False,132.87,
16,1766602190.390455,1170596,medium_user_01,batman,unknown,ARGON2ID,False,False,False,False,False,401,False,130.19,
17,1766602190.539404,1170596,medium_user_01,football,unknown,ARGON2ID,False,False,False,False,False,401,False,148.95,
18,1766602190.668982,1170596,medium_user_01,liverpool,unknown,ARGON2ID,False,False,False,False,False,401,False,129.57,
19,1766602190.7971451,1170596,medium_user_01,arsenal,unknown,ARGON2ID,False,False,False,False,False,401,False,128.16,
20,1766602190.928287,1170596,medium_user_01,chelsea,unknown,ARGON2ID,False,False,False,False,False,401,False,131.14,
21,1766602191.055051,1170596,medium_user_01,shadow,unknown,ARGON2ID,False,False,False,False,False,401,False,126.76,
22,1766602191.182244,1170596,medium_user_01,baseball,unknown,ARGON2ID,False,False,False,False,False,401,False,127.19,
23,1766602191.310312,1170596,medium_user_01,superman,unknown,ARGON2ID,False,False,False,False,False,401,False,128.06,
24,1766602191.4393148,1170596,medium_user_01,iloveyou,unknown,ARGON2ID,False,False,False,False,False,401,False,129.0,
25,1766602191.57133,1170596,medium_user_01,trustno1,unknown,ARGON2ID,False,False,False,False,False,401,False,132.01,
26,1766602191.6977012,1170596,medium_user_01,passw0rd,unknown,ARGON2ID,False,False,False,False,False,401,False,126.37,
27,1766602191.82459,1170596,medium_user_01,michael,unknown,ARGON2ID,False,False,False,False,False,401,False,126.88,
28,1766602191.952888,1170596,medium_user_01,charlie,unknown,ARGON2ID,False,False,False,False,False,401,False,128.29,
29,1766602192.082189,1170596,medium_user_01,ashley,unknown,ARGON2ID,False,False,False,False,False,401,False,129.3,
30,1766602192.207484,1170596,medium_user_01,jennifer,unknown,ARGON2ID,False,False,False,False,False,401,False,125.29,
31,1766602192.338646,1170596,medium_user_01,joshua,unknown,ARGON2ID,False,False,False,False,False,401,False,131.16,
32,1766602192.46878,1170596,medium_user_01,madison,unknown,ARGON2ID,False,False,False,False,False,401,False,130.13,
33,1766602192.600079,1170596,medium_user_01,jessica,unknown,ARGON2ID,False,False,False,False,False,401,False,131.29,
34,1766602192.7308412,1170596,medium_user_01,hannah,unknown,ARGON2ID,False,False,False,False,False,401,False,130.76,
35,1766602192.87012,1170596,medium_user_01,andrew,unknown,ARGON2ID,False,False,False,False,False,401,False,139.28,
36,1766602193.000733,1170596,medium_user_01,bailey,unknown,ARGON2ID,False,False,False,False,False,401,False,130.61,
37,1766602193.129142,1170596,medium_user_01,password123,unknown,ARGON2ID,False,False,False,False,False,401,False,128.4,
38,1766602193.2595289,1170596,medium_user_01,password!,unknown,ARGON2ID,False,False,False,False,False,401,False,130.38,
39,1766602193.392071,1170596,medium_user_01,pass123,unknown,ARGON2ID,False,False,False,False,False,401,False,132.54,
40,1766602193.5216892,1170596,medium_user_01,123qwe,unknown,ARGON2ID,False,False,False,False,False,401,False,129.61,
41,1766602193.650572,1170596,medium_user_01,qwerty123,unknown,ARGON2ID,False,False,False,False,False,401,False,128.88,
42,1766602193.781425,1170596,medium_user_01,1q2w3e,unknown,ARGON2ID,False,False,False,False,False,401,False,130.85,
43,1766602193.908685,1170596,medium_user_01,696969,unknown,ARGON2ID,False,False,False,False,False,401,False,127.26,
44,1766602194.038961,1170596,medium_user_01,mustang,unknown,ARGON2ID,False,False,False,False,False,401,False,130.27,
45,1766602194.169947,1170596,medium_user_01,access,unknown,ARGON2ID,False,False,False,False,False,401,False,130.98,
46,1766602194.300873,1170596,medium_user_01,login,unknown,ARGON2ID,False,False,False,False,False,401,False,130.92,
47,1766602194.428035,1170596,medium_user_01,test123,unknown,ARGON2ID,False,False,False,False,False,401,False,127.16,
48,1766602194.5557911,1170596,medium_user_01,default,unknown,ARGON2ID,False,False,False,False,False,401,False,127.75,
49,1766602194.68561,1170596,medium_user_01,guest,unknown,ARGON2ID,False,False,False,False,False,401,False,129.81,
50,1766602194.933665,1170596,medium_user_01,root,unknown,ARGON2ID,False,False,False,False,False,401,False,248.05,
51,1766602195.0647402,1170596,medium_user_01,toor,unknown,ARGON2ID,False,False,False,False,False,401,False,131.07,
52,1766602195.194304,1170596,medium_user_01,changeme,unknown,ARGON2ID,False,False,False,False,False,401,False,129.56,
53,1766602195.322231,1170596,medium_user_01,secret,unknown,ARGON2ID,False,False,False,False,False,401,False,127.92,
54,1766602195.453697,1170596,medium_user_01,letmein123,unknown,ARGON2ID,False,False,False,False,False,401,False,131.46,
55,1766602195.582145,1170596,medium_user_01,welcome1,unknown,ARGON2ID,False,False,False,False,False,401,False,128.44,
56,1766602195.708213,1170596,medium_user_01,hello123,unknown,ARGON2ID,False,False,False,False,False,401,False,126.06,
57,1766602195.836823,1170596,medium_user_01,admin123,unknown,ARGON2ID,False,False,False,False,False,401,False,128.6,
58,1766602195.966639,1170596,medium_user_01,user123,unknown,ARGON2ID,False,False,False,False,False,401,False,129.81,
