attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1766602418.2949991,1170596,medium_user_01,123456789,unknown,ARGON2ID,False,False,False,True,False,401,False,138.1,
2,1766602418.486658,1170596,medium_user_01,12345678,unknown,ARGON2ID,False,False,False,True,False,401,False,191.65,
3,1766602418.622638,1170596,medium_user_01,12345,unknown,ARGON2ID,False,False,False,True,False,401,False,135.98,
4,1766602418.753503,1170596,medium_user_01,123123,unknown,ARGON2ID,False,False,False,True,False,401,False,130.86,
5,1766602418.884445,1170596,medium_user_01,1234567,unknown,ARGON2ID,False,False,False,True,False,401,False,130.94,
6,1766602419.017162,1170596,medium_user_01,master,unknown,ARGON2ID,False,False,False,True,False,401,False,132.71,
7,1766602419.147985,1170596,medium_user_01,sunshine,unknown,ARGON2ID,False,False,False,True,False,401,False,130.82,
8,1766602419.2795808,1170596,medium_user_01,princess,unknown,ARGON2ID,False,False,False,True,False,401,False,131.59,
9,1766602419.411173,1170596,medium_user_01,654321,unknown,ARGON2ID,False,False,False,True,False,401,False,131.59,
10,1766602419.543568,1170596,medium_user_01,password1,unknown,ARGON2ID,False,False,False,True,False,401,False,132.39,
11,1766602419.6724858,1170596,medium_user_01,qazwsx,unknown,ARGON2ID,False,False,False,True,False,401,False,128.91,
12,1766602419.804158,1170596,medium_user_01,trust,unknown,ARGON2ID,False,False,False,True,False,401,False,131.67,
13,1766602419.933399,1170596,medium_user_01,000000,unknown,ARGON2ID,False,False,False,True,False,401,False,129.24,
14,1766602420.064807,1170596,medium_user_01,starwars,unknown,ARGON2ID,False,False,False,True,False,401,False,131.41,
15,1766602420.1968262,1170596,medium_user_01,zxcvbn,unknown,ARGON2ID,False,False,False,True,False,401,False,132.01,
16,1766602420.3257952,1170596,medium_user_01,batman,unknown,ARGON2ID,False,False,False,True,False,401,False,128.96,
17,1766602420.45882,1170596,medium_user_01,football,unknown,ARGON2ID,False,False,False,True,False,401,False,133.02,
18,1766602420.5930681,1170596,medium_user_01,liverpool,unknown,ARGON2ID,False,False,False,True,False,401,False,134.25,
19,1766602420.7251031,1170596,medium_user_01,arsenal,unknown,ARGON2ID,False,False,False,True,False,401,False,132.03,
20,1766602420.8602052,1170596,medium_user_01,chelsea,unknown,ARGON2ID,False,False,False,True,False,401,False,135.1,
21,1766602420.990422,1170596,medium_user_01,shadow,unknown,ARGON2ID,False,False,False,True,False,401,False,130.21,
22,1766602421.116534,1170596,medium_user_01,baseball,unknown,ARGON2ID,False,False,False,True,False,401,False,126.11,
23,1766602421.2462132,1170596,medium_user_01,superman,unknown,ARGON2ID,False,False,False,True,False,401,False,129.67,
24,1766602421.376232,1170596,medium_user_01,iloveyou,unknown,ARGON2ID,False,False,False,True,False,401,False,130.01,
25,1766602421.5085618,1170596,medium_user_01,trustno1,unknown,ARGON2ID,False,False,False,True,False,401,False,132.32,
26,1766602421.637793,1170596,medium_user_01,passw0rd,unknown,ARGON2ID,False,False,False,True,False,401,False,129.23,
27,1766602421.7706518,1170596,medium_user_01,michael,unknown,ARGON2ID,False,False,False,True,False,401,False,132.85,
28,1766602421.9009018,1170596,medium_user_01,charlie,unknown,ARGON2ID,False,False,False,True,False,401,False,130.24,
29,1766602422.040519,1170596,medium_user_01,ashley,unknown,ARGON2ID,False,False,False,True,False,401,False,139.61,
30,1766602422.1733701,1170596,medium_user_01,jennifer,unknown,ARGON2ID,False,False,False,True,False,401,False,132.85,
31,1766602422.303997,1170596,medium_user_01,joshua,unknown,ARGON2ID,False,False,False,True,False,401,False,130.62,
