attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1766604915.088023,1170596,medium_user_01,123456,weak,ARGON2ID,False,False,False,False,False,401,False,129.42,
1,1766604915.218815,1170596,medium_user_02,123456,weak,ARGON2ID,False,False,False,False,False,401,False,130.79,
1,1766604915.344936,1170596,medium_user_03,123456,weak,ARGON2ID,False,False,False,False,False,401,False,126.12,
1,1766604915.474665,1170596,medium_user_04,123456,weak,ARGON2ID,False,False,False,False,False,401,False,129.73,
1,1766604915.622808,1170596,medium_user_05,123456,weak,ARGON2ID,False,False,False,False,False,401,False,148.14,
1,1766604915.882682,1170596,medium_user_06,123456,weak,ARGON2ID,False,False,False,False,False,401,False,259.87,
1,1766604916.012657,1170596,medium_user_07,123456,weak,ARGON2ID,False,False,False,False,False,401,False,129.97,
1,1766604916.142724,1170596,medium_user_08,123456,weak,ARGON2ID,False,False,False,False,False,401,False,130.06,
1,1766604916.2768261,1170596,medium_user_09,123456,weak,ARGON2ID,False,False,False,False,False,401,False,134.1,
1,1766604916.4069529,1170596,medium_user_10,123456,weak,ARGON2ID,False,False,False,False,False,401,False,130.12,
2,1766604916.533018,1170596,medium_user_01,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.06,
2,1766604916.6585479,1170596,medium_user_02,password,weak,ARGON2ID,False,False,False,False,False,401,False,125.53,
2,1766604916.786012,1170596,medium_user_03,password,weak,ARGON2ID,False,False,False,False,False,401,False,127.46,
2,1766604916.912193,1170596,medium_user_04,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.18,
2,1766604917.038883,1170596,medium_user_05,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.69,
2,1766604917.165812,1170596,medium_user_06,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.93,
2,1766604917.292338,1170596,medium_user_07,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.52,
2,1766604917.419277,1170596,medium_user_08,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.94,
2,1766604917.548202,1170596,medium_user_09,password,weak,ARGON2ID,False,False,False,False,False,401,False,128.92,
2,1766604917.6743958,1170596,medium_user_10,password,weak,ARGON2ID,False,False,False,False,False,401,False,126.19,
3,1766604917.8040478,1170596,medium_user_01,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,129.65,
3,1766604917.932489,1170596,medium_user_02,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,128.44,
3,1766604918.066197,1170596,medium_user_03,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,133.71,
3,1766604918.19737,1170596,medium_user_04,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,131.17,
3,1766604918.331593,1170596,medium_user_05,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,134.22,
3,1766604918.465479,1170596,medium_user_06,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,133.88,
3,1766604918.597913,1170596,medium_user_07,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,132.43,
3,1766604918.730028,1170596,medium_user_08,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,132.11,
3,1766604918.8615181,1170596,medium_user_09,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,131.49,
3,1766604918.994213,1170596,medium_user_10,qwerty,weak,ARGON2ID,False,False,False,False,False,401,False,132.69,
4,1766604919.127181,1170596,medium_user_01,admin,weak,ARGON2ID,False,False,False,False,False,401,False,132.96,
4,1766604919.260271,1170596,medium_user_02,admin,weak,ARGON2ID,False,False,False,False,False,401,False,133.09,
4,1766604919.3916538,1170596,medium_user_03,admin,weak,ARGON2ID,False,False,False,False,False,401,False,131.38,
4,1766604919.522391,1170596,medium_user_04,admin,weak,ARGON2ID,False,False,False,False,False,401,False,130.73,
4,1766604919.651417,1170596,medium_user_05,admin,weak,ARGON2ID,False,False,False,False,False,401,False,129.02,
4,1766604919.7806258,1170596,medium_user_06,admin,weak,ARGON2ID,False,False,False,False,False,401,False,129.21,
4,1766604919.9148061,1170596,medium_user_07,admin,weak,ARGON2ID,False,False,False,False,False,401,False,134.18,
4,1766604920.048643,1170596,medium_user_08,admin,weak,ARGON2ID,False,False,False,False,False,401,False,133.83,
4,1766604920.184269,1170596,medium_user_09,admin,weak,ARGON2ID,False,False,False,False,False,401,False,135.62,
4,1766604920.314089,1170596,medium_user_10,admin,weak,ARGON2ID,False,False,False,False,False,401,False,129.82,
5,1766604920.443253,1170596,medium_user_01,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,129.16,
5,1766604920.573193,1170596,medium_user_02,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,129.94,
5,1766604920.70143,1170596,medium_user_03,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,128.23,
5,1766604920.8279822,1170596,medium_user_04,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,126.55,
5,1766604920.9578428,1170596,medium_user_05,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,129.86,
5,1766604921.085414,1170596,medium_user_06,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,127.57,
5,1766604921.2139142,1170596,medium_user_07,letmein,weak,ARGON2ID,False,False,False,False,False,401,False,128.5,
