attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1766605084.193391,1170596,strong_user_01,123456,weak,ARGON2ID,False,True,False,False,False,401,False,131.92,
1,1766605084.322906,1170596,strong_user_02,123456,weak,ARGON2ID,False,True,False,False,False,401,False,129.51,
1,1766605084.4570408,1170596,strong_user_03,123456,weak,ARGON2ID,False,True,False,False,False,401,False,134.13,
1,1766605084.589916,1170596,strong_user_04,123456,weak,ARGON2ID,False,True,False,False,False,401,False,132.87,
1,1766605084.7213519,1170596,strong_user_05,123456,weak,ARGON2ID,False,True,False,False,False,401,False,131.43,
1,1766605084.851913,1170596,strong_user_06,123456,weak,ARGON2ID,False,True,False,False,False,401,False,130.56,
1,1766605084.9856808,1170596,strong_user_07,123456,weak,ARGON2ID,False,True,False,False,False,401,False,133.76,
1,1766605085.117555,1170596,strong_user_08,123456,weak,ARGON2ID,False,True,False,False,False,401,False,131.87,
1,1766605085.2504919,1170596,strong_user_09,123456,weak,ARGON2ID,False,True,False,False,False,401,False,132.93,
1,1766605085.380429,1170596,strong_user_10,123456,weak,ARGON2ID,False,True,False,False,False,401,False,129.93,
2,1766605085.5116742,1170596,strong_user_01,password,weak,ARGON2ID,False,True,False,False,False,401,False,131.24,
2,1766605085.6400619,1170596,strong_user_02,password,weak,ARGON2ID,False,True,False,False,False,401,False,128.39,
2,1766605085.89884,1170596,strong_user_03,password,weak,ARGON2ID,False,True,False,False,False,401,False,258.77,
2,1766605086.033149,1170596,strong_user_04,password,weak,ARGON2ID,False,True,False,False,False,401,False,134.3,
2,1766605086.163862,1170596,strong_user_05,password,weak,ARGON2ID,False,True,False,False,False,401,False,130.71,
2,1766605086.2928278,1170596,strong_user_06,password,weak,ARGON2ID,False,True,False,False,False,401,False,128.96,
2,1766605086.423211,1170596,strong_user_07,password,weak,ARGON2ID,False,True,False,False,False,401,False,130.38,
2,1766605086.5542688,1170596,strong_user_08,password,weak,ARGON2ID,False,True,False,False,False,401,False,131.05,
2,1766605086.683531,1170596,strong_user_09,password,weak,ARGON2ID,False,True,False,False,False,401,False,129.26,
2,1766605086.8115609,1170596,strong_user_10,password,weak,ARGON2ID,False,True,False,False,False,401,False,128.03,
3,1766605086.944265,1170596,strong_user_01,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,132.7,
3,1766605087.0754392,1170596,strong_user_02,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,131.17,
3,1766605087.208271,1170596,strong_user_03,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,132.83,
3,1766605087.341759,1170596,strong_user_04,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,133.48,
3,1766605087.4719858,1170596,strong_user_05,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,130.22,
3,1766605087.601795,1170596,strong_user_06,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,129.81,
3,1766605087.7332191,1170596,strong_user_07,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,131.42,
3,1766605087.8673868,1170596,strong_user_08,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,134.16,
3,1766605088.018005,1170596,strong_user_09,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,150.61,
3,1766605088.152042,1170596,strong_user_10,qwerty,weak,ARGON2ID,False,True,False,False,False,401,False,134.03,
4,1766605088.2827039,1170596,strong_user_01,admin,weak,ARGON2ID,False,True,False,False,False,401,False,130.66,
4,1766605088.4129071,1170596,strong_user_02,admin,weak,ARGON2ID,False,True,False,False,False,401,False,130.2,
4,1766605088.545177,1170596,strong_user_03,admin,weak,ARGON2ID,False,True,False,False,False,401,False,132.27,
4,1766605088.6781409,1170596,strong_user_04,admin,weak,ARGON2ID,False,True,False,False,False,401,False,132.96,
4,1766605088.8132548,1170596,strong_user_05,admin,weak,ARGON2ID,False,True,False,False,False,401,False,135.11,
4,1766605088.945447,1170596,strong_user_06,admin,weak,ARGON2ID,False,True,False,False,False,401,False,132.19,
4,1766605089.0811331,1170596,strong_user_07,admin,weak,ARGON2ID,False,True,False,False,False,401,False,135.68,
