attempt,timestamp,group_seed,username,password,password_category,hash_mode,rate_limit,lockout,captcha,pepper,totp,status_code,success,latency_ms,error
1,1766604876.620074,1170596,strong_user_01,123456,weak,BCRYPT,False,False,False,False,False,401,False,133.98,
1,1766604876.7486138,1170596,strong_user_02,123456,weak,BCRYPT,False,False,False,False,False,401,False,128.54,
1,1766604876.876767,1170596,strong_user_03,123456,weak,BCRYPT,False,False,False,False,False,401,False,128.15,
1,1766604877.003857,1170596,strong_user_04,123456,weak,BCRYPT,False,False,False,False,False,401,False,127.09,
1,1766604877.133322,1170596,strong_user_05,123456,weak,BCRYPT,False,False,False,False,False,401,False,129.46,
1,1766604877.283872,1170596,strong_user_06,123456,weak,BCRYPT,False,False,False,False,False,401,False,150.54,
1,1766604877.414208,1170596,strong_user_07,123456,weak,BCRYPT,False,False,False,False,False,401,False,130.33,
1,1766604877.544488,1170596,strong_user_08,123456,weak,BCRYPT,False,False,False,False,False,401,False,130.28,
1,1766604877.677526,1170596,strong_user_09,123456,weak,BCRYPT,False,False,False,False,False,401,False,133.03,
1,1766604877.811327,1170596,strong_user_10,123456,weak,BCRYPT,False,False,False,False,False,401,False,133.8,
2,1766604877.94063,1170596,strong_user_01,password,weak,BCRYPT,False,False,False,False,False,401,False,129.3,
2,1766604878.065749,1170596,strong_user_02,password,weak,BCRYPT,False,False,False,False,False,401,False,125.12,
2,1766604878.1919749,1170596,strong_user_03,password,weak,BCRYPT,False,False,False,False,False,401,False,126.22,
2,1766604878.3218648,1170596,strong_user_04,password,weak,BCRYPT,False,False,False,False,False,401,False,129.89,
2,1766604878.452244,1170596,strong_user_05,password,weak,BCRYPT,False,False,False,False,False,401,False,130.37,
2,1766604878.579597,1170596,strong_user_06,password,weak,BCRYPT,False,False,False,False,False,401,False,127.35,
2,1766604878.70286,1170596,strong_user_07,password,weak,BCRYPT,False,False,False,False,False,401,False,123.26,
2,1766604878.8279119,1170596,strong_user_08,password,weak,BCRYPT,False,False,False,False,False,401,False,125.05,
2,1766604878.955946,1170596,strong_user_09,password,weak,BCRYPT,False,False,False,False,False,401,False,128.03,
2,1766604879.082774,1170596,strong_user_10,password,weak,BCRYPT,False,False,False,False,False,401,False,126.82,
3,1766604879.217963,1170596,strong_user_01,qwerty,weak,BCRYPT,False,False,False,False,False,401,False,135.19,
